セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 200尊享版 6人乗り,2026年モデル 増程 280レーザーレーダー版 6人乗り,2026年モデル 増程 280レーザーレーダー智尊版 6人乗り,2026年モデル 増程 280レーザーレーダー智尊版 5人乗り,2026年モデル 纯电 580尊享版 6人乗り,2026年モデル 纯电 630レーザーレーダー版 6人乗り,2026年モデル 纯电 630レーザーレーダー智尊版 6人乗り,2026年モデル 纯电 630レーザーレーダー智尊版 5人乗り,2024年モデル 増程 200智享版,2024年モデル 増程 200尊享版,2024年モデル 増程 200レーザーレーダー版,2024年モデル 纯电 520智享版,2024年モデル 纯电 520尊享版,2024年モデル 纯电 520レーザーレーダー版,2024年モデル 纯电 580尊享版,2024年モデル 纯电 580レーザーレーダー版
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラー記憶機能 ミラー加熱 バック時自動下向き 鍵施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ,● 14.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センター画面解像度,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K,● 2.5K
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● HUAWEI HiCar対応 Carlink対応,● Carlink対応,● Carlink対応,● Carlink対応,● Carlink対応,● Carlink対応,● Carlink対応,● Carlink対応,● Carlink対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作,● マルチメディアシステム ナビ 電話 エアコン 窓操作
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零,● こんにちは、小零
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,DeepSeek应用,DeepSeekアプリ,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 接続済み,● 近日対応予定,● 近日対応予定,● 近日対応予定,● 近日対応予定,● 近日対応予定,● 近日対応予定,● 近日対応予定,● 近日対応予定
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS,● Leapmotor OS
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P,● Qualcomm Snapdragon 8295P
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,○,○,●,●,○,○,●,●,○,○,○,○,○,○,○,○
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,○ 15.6インチ,○ 15.6インチ,● 15.6インチ,● 15.6インチ,○ 15.6インチ,○ 15.6インチ,● 15.6インチ,● 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ,○ 15.6インチ
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後席マルチメディア画面数,○ 1個,○ 1個,● 1個,● 1個,○ 1個,○ 1個,● 1個,● 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個,○ 1個
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车联网,車載ネットワーク（コネクテッドカー）,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 5G,● 4G,● 4G,● 5G,● 4G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約,● ドア操作 窓操作 エンジン始動 充電管理 エアコン操作 車両状態確認・診断 車両位置特定・車探し オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） 点検・整備予約
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 合成皮革,● 合成皮革,● 本革,● 本革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席2個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席2個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 15W,● 50W,● 50W,● 50W,● 15W,● 50W,● 50W,● 50W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 本革,● 本革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（2方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（2方向）、ランバーサポート（4方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）,● 前後スライド、リクライニング、高さ調整（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,-,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,-,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後スライド、リクライニング,● 前後スライド、リクライニング、左右調整,● 前後スライド、リクライニング、左右調整,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング、左右調整,● 前後スライド、リクライニング、左右調整,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング,● 前後スライド、リクライニング
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション、マッサージ機能,● シートヒーター、ベンチレーション、マッサージ機能,-,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,-,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,● リクライニング,● リクライニング,● リクライニング,-,● リクライニング,● リクライニング,● リクライニング,-,● リクライニング,● リクライニング,● リクライニング,● リクライニング,● リクライニング,● リクライニング,● リクライニング,● リクライニング
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）,-,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）,-,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）,● 2-2-2（座席配列）
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,12スピーカー、21スピーカー,12スピーカー、21スピーカー,● 21スピーカー,● 21スピーカー,12スピーカー、21スピーカー,12スピーカー、21スピーカー,● 21スピーカー,● 21スピーカー,12スピーカー、21スピーカー,12スピーカー、21スピーカー,12スピーカー、21スピーカー,12スピーカー、21スピーカー,12スピーカー、21スピーカー,12スピーカー、21スピーカー,12スピーカー、21スピーカー,12スピーカー、21スピーカー
音响/车内灯光,オーディオ・室内照明,杜比全景声(Dolby Atmos),ドルビーアトモス(Dolby Atmos),○,○,●,●,○,○,●,●,○,○,○,○,○,○,○,○
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,○ 多色,○ 多色,● 多色,● 多色,○ 多色,○ 多色,● 多色,● 多色,○ 多色,○ 多色,○ 多色,○ 多色,○ 多色,○ 多色,○ 多色,○ 多色
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,○,○,●,●,○,○,●,●,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,-,●,●,●,●,-,-,-,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●,●,●,-,●,●,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,-,-,●,●,-,-,●,●,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,メタリックブラック、スターリバーシルバー、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000,メタリックブラック、スターリバーシルバー、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000,メタリックブラック、スターリバーシルバー、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000,メタリックブラック、スターリバーシルバー、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000,メタリックブラック、スターリバーシルバー、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000,メタリックブラック、スターリバーシルバー、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000,メタリックブラック、スターリバーシルバー、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000,メタリックブラック、スターリバーシルバー、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000,メタリックブラック、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000、スターシルバー,メタリックブラック、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000、スターシルバー,メタリックブラック、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000、スターシルバー,メタリックブラック、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000、スターシルバー,メタリックブラック、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000、スターシルバー,メタリックブラック、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000、スターシルバー,メタリックブラック、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000、スターシルバー,メタリックブラック、サンルーフグレー、グリーンブルー ￥2000、パールホワイト、スターライトパープル ￥2000、スターシルバー
