セクション,項目,思域 2025款 180TURBO CVT 智趣,思域 2025款 2.0L e:HEV 混动,思域 2025款 2.0L e:HEV 混动Plus,思域 2025款 2.0L e:HEV 混动Pro,思域 2025款 2.0L e:HEV 混动Max,思域 2025款 240TURBO CVT 智趣Plus,思域 2025款 240TURBO CVT 智趣Pro,思域 2025款 240TURBO CVT 智趣Max,思域 2023款 HATCHBACK 240TURBO CVT极跃版,思域 2023款 HATCHBACK 240TURBO CVT极锐版,思域 2023款 HATCHBACK 240TURBO 手动极劲版,思域 2023款 240TURBO CVT劲势版,思域 2023款 240TURBO CVT劲动·C位客特别版,思域 2023款 240TURBO CVT劲控·C位客特别版,思域 2023款 HATCHBACK 240TURBO CVT极锋版,思域 2023款 HATCHBACK 2.0L e:HEV 极曜版,思域 2023款 HATCHBACK 2.0L e:HEV 极控版,思域 2023款 2.0L e:HEV 先锋版,思域 2023款 2.0L e:HEV 锐力版,思域 2023款 2.0L e:HEV 劲速版,思域 2022款 180TURBO CVT尚动版,思域 2022款 180TURBO CVT尚擎版,思域 2022款 240TURBO CVT劲骋版,思域 2022款 240TURBO CVT劲动版,思域 2022款 240TURBO CVT燃动版,思域 2022款 240TURBO CVT劲控版,思域 2022款 240TURBO CVT燃擎版
车内充电,多媒体/充电接口,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,USB/Type-C接口数量,● 前排2个,● 前排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个,● 前排2个,● 前排2个/后排2个,● 前排2个,● 前排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,● 前排,● 前排,-,● 前排,-,● 前排,● 前排,-,-,-,-,-,● 前排,● 前排
座椅配置,座椅材质,● 织物,● 织物,● 织物,● 皮/织物混搭,● 皮/翻毛材质混搭,● 皮/织物混搭,● 皮/织物混搭,● 皮/翻毛材质混搭,● 织物,● 皮/织物混搭,● 皮/Alcantara混搭,● 织物,● 织物,● 真皮,● 皮/Alcantara混搭,● 织物,● 皮/织物混搭,● 织物,● 皮/织物混搭,● 真皮,● 织物,● 真皮,● 织物,● 织物,● 皮/织物混搭,● 真皮,● 皮/翻毛材质混搭
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向),● 前后调节 靠背调节 高低调节(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,-,-,-,● 主 / 副,-,-,● 主 / 副-,-,-,● 主 / 副-,-,-,● 主 / 副-,● 主 / 副-,-,-,-,-,● 主 / 副,-,-,-,-,-,● 主 / 副-,● 主 / 副-
座椅配置,前排座椅功能,-,-,-,-,● 加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 加热,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,● 比例放倒,-,-,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,-,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,-,● 比例放倒,-,● 比例放倒,-,-,-,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后,● 前 / 后-,● 前 / 后-,● 前 / 后-,● 前 / 后,● 前 / 后
座椅配置,后排杯架,-,-,-,-,●,-,-,●,●,●,●,-,-,●,●,●,●,-,-,●,-,●,-,-,-,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,● BOSE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● BOSE,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 2喇叭,● 2喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 2喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,● 单色,● 单色,-,● 单色,● 单色,-,● 单色,● 单色,-,-,-,● 单色,-,● 单色,-,● 单色,● 单色,-,-,-,-,● 单色,-,● 单色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,●,●,●,●,●,●,-,-,-,-,-,●,●,-,●,-,●,●,-,-,-,-,-,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,彩晶黑 月光蓝 晶耀白 炽热橙 摩登灰,彩晶黑 月光蓝 皓月白 炽热橙 摩登灰,彩晶黑 月光蓝 皓月白 炽热橙 摩登灰,彩晶黑 月光蓝 皓月白 炽热橙 摩登灰,彩晶黑 月光蓝 皓月白 炽热橙 摩登灰,彩晶黑 月光蓝 晶耀白 炽热橙 摩登灰,彩晶黑 月光蓝 晶耀白 炽热橙 摩登灰,彩晶黑 月光蓝 晶耀白 炽热橙 摩登灰,彩晶黑 炫动蓝 晶耀白 闪烈黄 赤焰红 玛瑙紫 彩晶黑/晶耀白 彩晶黑/赤焰红,彩晶黑 炫动蓝 晶耀白 闪烈黄 赤焰红 玛瑙紫 彩晶黑/晶耀白 彩晶黑/赤焰红,彩晶黑 炫动蓝 晶耀白 闪烈黄 赤焰红 玛瑙紫 彩晶黑/晶耀白 彩晶黑/赤焰红,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,彩晶黑 炫动蓝 晶耀白 闪烈黄 赤焰红 玛瑙紫 彩晶黑/晶耀白 彩晶黑/赤焰红,彩晶黑 炫动蓝 闪烈黄 皓月白 赤焰红 碧玺青 彩晶黑/赤焰红 彩晶黑/碧玺青,彩晶黑 炫动蓝 闪烈黄 皓月白 赤焰红 碧玺青 彩晶黑/赤焰红 彩晶黑/碧玺青,暗金蓝 炫动蓝 鎏光灰 皓月白 赤焰红 碧玺青,暗金蓝 炫动蓝 鎏光灰 皓月白 赤焰红 碧玺青,暗金蓝 炫动蓝 鎏光灰 皓月白 赤焰红 碧玺青,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰,拉力红 暗金蓝 炫动蓝 晶耀白 闪烈黄 鎏光灰
颜色,内饰颜色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色,黑色 黑色/红色,黑色 黑色/红色,黑色,黑色,黑色,黑色,黑色,黑色,黑色 黑色/灰色,黑色,黑色 黑色/灰色,黑色/灰色,黑色,黑色,黑色,黑色,黑色,黑色,黑色
