セクション,項目,腾势D9 2025款 DM-i 两驱行政版,腾势D9 2025款 EV 智驾版 600 四驱尊贵型,腾势D9 2025款 EV 智驾版 600 四驱旗舰型,腾势D9 2025款 DM-i 两驱尊航型,腾势D9 2025款 DM-i 四驱尊航型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊贵型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊荣型,腾势D9 2025款 DM-i 智驾版 1020 四驱旗舰型,腾势D9 2025款 DM-i 四驱至尊型,腾势D9 2025款 DM-i 智驾版 1100 豪华型,腾势D9 2025款 DM-i 智驾版 1020 四驱尊享型,腾势D9 2025款 EV 两驱尊航型,腾势D9 2025款 EV 智驾版 620 豪华型,腾势D9 2024款 EV 620 尊享型,腾势D9 2024款 DM-i 970 豪华型,腾势D9 2024款 DM-i 980 四驱尊贵型,腾势D9 2024款 PIONEER 四座创领版,腾势D9 2024款 DM-i 980 四驱尊荣型
方向盘/内后视镜,换挡形式,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡,● 电子挡把换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,●,●,-,-,●,●,●,●,●,●,-,●,●,-,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸,● 10.25英寸
方向盘/内后视镜,HUD抬头数字显示,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●
方向盘/内后视镜,HUD抬头尺寸,-,● 12英寸,● 12英寸,-,-,● 12英寸,● 12英寸,● 12英寸,● 12英寸,-,-,-,-,-,-,-,● 12英寸,● 12英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目,● 自动防眩目,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目 流媒体,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目 流媒体,● 自动防眩目 流媒体
方向盘/内后视镜,ETC装置,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排4个,● 前排2个/后排5个,● 前排2个/后排4个
车内充电,USB/Type-C最大充电功率,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,220V/230V电源,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,手机无线充电功能,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排,● 前排 后排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,座椅材质,● 真皮,● 真皮 仿皮,● 真皮,● 仿皮,● 仿皮,● 真皮 仿皮,● 真皮,● 真皮,● 真皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节,● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,主/副驾驶座电动调节,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副
座椅配置,前排座椅功能,○ 按摩,● 加热 通风 按摩,● 加热 通风 按摩 头枕扬声器(仅驾驶位),-,-,● 加热 通风 按摩,● 加热 通风 按摩 头枕扬声器(仅驾驶位),● 加热 通风 按摩 头枕扬声器(仅驾驶位),● 加热 通风 按摩 头枕扬声器(仅驾驶位),● 加热 通风 按摩,● 加热 通风 按摩,-,● 加热 通风 按摩,加热 通风 按摩,○ 按摩,加热 通风 按摩,● 加热 通风 按摩,加热 通风 按摩
座椅配置,电动座椅记忆功能,● 驾驶位 后排,● 驾驶位 副驾驶位 后排,● 驾驶位 副驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排,● 驾驶位 副驾驶位 后排,● 驾驶位 副驾驶位 后排,● 驾驶位 副驾驶位 后排,● 驾驶位 副驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排,● 驾驶位 后排
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 高低调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节,● 前后调节 靠背调节 腰部调节 腿托调节 脚踏调节,● 前后调节 靠背调节 腰部调节 腿托调节
座椅配置,第二排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩,● 加热 通风 按摩
座椅配置,后排小桌板,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,零重力座椅,-,● 第二排,● 第二排,-,-,● 第二排,● 第二排,● 第二排,● 第二排,-,-,-,-,-,-,-,-,-
座椅配置,第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第三排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,-,● 前后调节 靠背调节
座椅配置,第三排座椅电动调节,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
座椅配置,第三排座椅功能,-,-,● 加热 通风,-,-,-,● 加热 通风,● 加热 通风,● 加热 通风,-,-,-,-,-,-,-,-,-
座椅配置,座椅布局,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,-,● 2-2-3
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,-,● 比例放倒
座椅配置,后排座椅电动放倒,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,● Dynaudio丹拿,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● DEVIALET帝瓦雷,● Dynaudio丹拿,● Dynaudio丹拿,● Dynaudio丹拿,● DEVIALET帝瓦雷,● Dynaudio丹拿
音响/车内灯光,扬声器数量,● 14喇叭,● 16喇叭,● 18喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 18喇叭,● 18喇叭,● 18喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 16喇叭,● 14喇叭,● 14喇叭,● 14喇叭,● 22喇叭,● 14喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色,● 128色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,-,●,●,-,-,-,-,-,-,-,-,●,●,●,-,-,-,-
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,●,●,-,-,●,●,●,●,●,●,-,●,●,-,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,●,●,-,-,●,●,●,●,●,●,-,●,●,-,●,●,●
空调/冰箱,车内香氛装置,●,●,●,-,-,●,●,●,●,-,-,-,-,●,●,●,●,●
空调/冰箱,空气质量监测,-,●,●,-,-,●,●,●,●,●,●,-,●,-,-,-,●,-
空调/冰箱,车载冰箱,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,皓日白 晌雅蓝 晨光金 苍霁灰 凝夜黑,皓日白 晌雅蓝 凝夜黑 繁星灰 金色/紫气凌云 ￥30000,皓日白 晌雅蓝 凝夜黑 繁星灰 金色/紫气凌云 ￥30000,皓日白 晌雅蓝 凝夜黑 繁星灰 金色/紫气凌云 ￥30000,皓日白 晌雅蓝 凝夜黑 繁星灰 金色/紫气凌云 ￥30000,皓日白 晌雅蓝 凝夜黑 繁星灰 金色/紫气凌云 ￥30000,皓日白 晌雅蓝 凝夜黑 繁星灰 金色/紫气凌云 ￥30000,皓日白 晌雅蓝 凝夜黑 繁星灰 金色/紫气凌云 ￥30000,金色/紫气凌云,皓日白 晌雅蓝 凝夜黑 繁星灰,皓日白 晌雅蓝 凝夜黑 繁星灰,皓日白 晌雅蓝 凝夜黑 繁星灰 金色/紫气凌云 ￥30000,皓日白 晌雅蓝 凝夜黑 繁星灰,皓日白 晌雅蓝 晨光金 苍霁灰 凝夜黑 璀璨紫 ￥6000,皓日白 晌雅蓝 晨光金 苍霁灰 凝夜黑 璀璨紫 ￥6000,皓日白 晌雅蓝 晨光金 苍霁灰 凝夜黑 璀璨紫 ￥6000,皓日白 凝夜黑 璀璨紫 金色/紫气凌云 ￥30000,皓日白 晌雅蓝 晨光金 苍霁灰 凝夜黑 璀璨紫 ￥6000
颜色,内饰颜色,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/鎏年棕 黑色/旷达米,黑色/旷达米,黑色/鎏年棕 黑色/旷达米
选装包,中排多媒体双头枕屏,-,-,-,-,○ 包含：中排多媒体双头枕屏 选配 (8000元),-,-,-,-,-,-,-,-,-,-,○ 包含：中排多媒体双头枕屏 选配 (8000元),-,○ 包含：中排多媒体双头枕屏 选配 (8000元)
选装包,主副驾十点按摩座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 包含：主副驾十点按摩座椅 选配 (6500元),○ 包含：主副驾十点按摩座椅 选配 (6500元),○ 包含：主副驾十点按摩座椅 选配 (6500元),-,○ 包含：主副驾十点按摩座椅 选配 (6500元)
