セクション,セクション_ja,項目,項目_ja,2025年モデル DM i 2WD 行政版,2025年モデル EV インテリジェントドライブ版 600 4WD 尊貴型,2025年モデル EV インテリジェントドライブ版 600 4WD フラッグシップ型,2025年モデル DM i 2WD 尊航型,2025年モデル DM i 4WD 尊航型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊貴型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊栄型,2025年モデル DM i インテリジェントドライブ版 1020 4WD フラッグシップ型,2025年モデル DM i 4WD 至尊型,2025年モデル DM i インテリジェントドライブ版 1100 豪華型,2025年モデル DM i インテリジェントドライブ版 1020 4WD 尊享型,2025年モデル EV 2WD 尊航型,2025年モデル EV インテリジェントドライブ版 620 豪華型,2024年モデル EV 620 尊享型,2024年モデル DM i 970 豪華型,2024年モデル DM i 980 4WD 尊貴型,2024年モデル PIONEER 4人乗り 創領版,2024年モデル DM i 980 4WD 尊栄型
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席側面サンシェード,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席側面プライバシーガラス,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納,● 電動調整 電動格納 ミラー記憶 ミラー加熱 バック時自動下向き 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,-,● 10.25インチ,-,-,-,-,● 10.25インチ,● 10.25インチ,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ 窓席シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势,● こんにちは、腾势
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 4ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,○,●,○
屏幕/系统,ディスプレイ・システム,隐私声盾,プライバシー音声シールド,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● 腾势Link,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● DiLink,● 腾势Link,● 腾势Link,● 腾势Link,● 腾势Link,● 腾势Link
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,-,○,●,-,○,○,●,●,●,-,○,-,-,-,-,○,●,○
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,-,○ デュアル12.8インチ（8000元）,● デュアル12.8インチ,-,○ デュアル12.8インチ（8000元）,○ デュアル12.8インチ（8000元）,● デュアル12.8インチ,● デュアル12.8インチ,● デュアル12.8インチ,-,○ デュアル12.8インチ（8000元）,-,-,-,-,○ デュアル12.8インチ,● 32インチ,○ デュアル12.8インチ
屏幕/系统,ディスプレイ・システム,后排液晶屏幕类型,後席液晶画面タイプ,-,○ LCD,● LCD,-,○ LCD,○ LCD,● LCD,● LCD,● LCD,-,○ LCD,-,-,-,-,○ LCD,-,○ LCD
屏幕/系统,ディスプレイ・システム,后排液晶屏幕分辨率,後席液晶画面解像度,-,○ 1920×1080,● 1920×1080,-,○ 1920×1080,○ 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,-,○ 1920×1080,-,-,-,-,○ 1920×1080,-,○ 1920×1080
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後席マルチメディア画面数,-,○ 2個,● 2個,-,○ 2個,○ 2個,● 2個,● 2個,● 2個,-,○ 2個,-,-,-,-,○ 2個,● 1個,○ 2個
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G／5Gネットワーク,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车内生物监测系统,車内バイオモニタリングシステム,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 シートヒーター シートベンチレーション 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理,● ドア操作 車両始動 充電管理 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など） 予約点検/修理
智能化配置,スマート機能装備,车载KTV,車載KTV,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● レザー調,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー,● 電子シフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,●,●,-,-,●,●,●,●,●,●,-,●,●,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,●,●,-,-,●,●,●,●,-,-,-,-,-,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,● 12インチ,● 12インチ,-,-,● 12インチ,● 12インチ,● 12インチ,● 12インチ,-,-,-,-,-,-,-,● 12インチ,● 12インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 自動防眩流媒体ミラー,● 自動防眩流媒体ミラー,● 自動防眩,● 自動防眩,● 自動防眩流媒体ミラー,● 自動防眩流媒体ミラー,● 自動防眩流媒体ミラー,● 自動防眩流媒体ミラー,● 自動防眩,● 自動防眩,● 自動防眩,● 自動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 自動防眩流媒体ミラー,● 自動防眩流媒体ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席4個,● 前席2個／後席5個,● 前席2個／後席4個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席,● 前席 後席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
座椅配置,シート装備,座椅材质,シート素材,● 本革,● 本革 合成皮革,● 本革,● 合成皮革,● 合成皮革,● 本革 合成皮革,● 本革,● 本革,● 本革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,○ マッサージ,● ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,-,-,● ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション マッサージ ヘッドレストスピーカー（運転席のみ）,● ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ,-,● ヒーター ベンチレーション マッサージ,ヒーター ベンチレーション マッサージ,○ マッサージ,ヒーター ベンチレーション マッサージ,● ヒーター ベンチレーション マッサージ,ヒーター ベンチレーション マッサージ
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席 後席,● 運転席 助手席 後席,● 運転席 助手席 後席,● 運転席 後席,● 運転席 後席,● 運転席 助手席 後席,● 運転席 助手席 後席,● 運転席 助手席 後席,● 運転席 助手席 後席,● 運転席 後席,● 運転席 後席,● 運転席 後席,● 運転席 後席,● 運転席 後席,● 運転席 後席,● 運転席 後席,● 運転席 後席,● 運転席 後席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 高さ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整 フットレスト調整,● 前後調整 背もたれ調整 腰部調整 レッグレスト調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
