セクション,セクション_ja,項目,項目_ja,2026年モデル ハイブリッド 2.0HE エリート版,2026年モデル ハイブリッド 2.0HGVP ラグジュアリー版,2026年モデル ハイブリッド 2.0HG プレミアム版,2026年モデル ハイブリッド 2.0HG グロリアス版,2026年モデル ハイブリッド 2.0HSE スポーツライト版,2026年モデル ハイブリッド 2.0HS スポーツ版,2026年モデル ハイブリッド 2.0HXS スポーツプラス版,2026年モデル ハイブリッド 2.0HXS グロリアス版,2026年モデル 2.0E エリート版,2026年モデル 2.0GVP ラグジュアリー版,2026年モデル 2.0G プレミアム版,2026年モデル 2.0S スポーツ版,2026年モデル ハイブリッド 2.5HG プレミアム版,2026年モデル ハイブリッド 2.5HXS スポーツプラス版,2026年モデル ハイブリッド 2.5HQ フラッグシップ版,2025年モデル ハイブリッド 2.0HG グロリアス版,2025年モデル ハイブリッド 2.0HXS グロリアス版,2025年モデル ハイブリッド 2.5HG プレミアムインテリジェント版,2025年モデル ハイブリッド 2.5HXS スポーツプラスインテリジェント版
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,-,-,● 4G,● 4G,-,● 4G,● 4G,● 4G,-,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約,● ドア操作 車両始動 エアコン操作 車両状態確認/診断 車両位置特定/車両探索 オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索等） 点検/整備予約
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,手動上下＋前後調整 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,手動上下＋前後調整 電動上下＋前後調整,手動上下＋前後調整 電動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,○,-,-,○,○,●,-,-,-,-,●,●,●,-,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 12.3インチ,● 12.3インチ,● 7インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 7インチ,● 7インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,●,●,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目 ミラーカメラ（デジタルインナーミラー）,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,-,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● 合成皮革,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス,● レザー／スエード素材ミックス,● 合成皮革,● 合成皮革,● 本革 合成皮革,● レザー／スエード素材ミックス,● 本革 合成皮革,● レザー／スエード素材ミックス,● 本革 合成皮革,● 本革 合成皮革,● レザー／スエード素材ミックス,● 本革 合成皮革,● レザー／スエード素材ミックス
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整、高さ調整（4方向）、ランバーサポート（2方向）,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整,● 前後調整、リクライニング調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,○ シートヒーター、ベンチレーション,-,-,○ シートヒーター、ベンチレーション,○ シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,-,-,-,-,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション,-,-,● シートヒーター、ベンチレーション,● シートヒーター、ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,○ 運転席,-,-,○ 運転席,○ 運転席,● 運転席,-,-,-,-,● 運転席,● 運転席,● 運転席,-,-,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● リクライニング調整,-,-,-,-
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後席シート倒し方,-,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,-,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,-,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● JBL,-,● Dynaudio（ダイナオーディオ）,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 11スピーカー,● 8スピーカー,● 10スピーカー,● 8スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 単色,● 単色,● 64色,● 64色,● 単色,● 64色,● 64色,● 64色,● 単色,● 単色,● 単色,● 単色,● 64色,● 64色,● 64色,● 64色,● 64色,単色 64色,単色 64色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,●,●,-,●,●,●,-,-,-,-,●,●,●,●,●,○,○
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,○,-,-,○,○,●,-,-,-,-,●,●,●,-,-,●,●
颜色,カラー,外观颜色,外装色,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,マットグレー,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、ブラック/プラチナパールホワイト ￥4000、ブラック/シャイニングレッド ￥4000、チタンシルバー、サイバーグレー ￥2000、ブラック/サイバーグレー ￥4000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、ブラック/プラチナパールホワイト ￥4000、ブラック/シャイニングレッド ￥4000、チタンシルバー、サイバーグレー ￥2000、ブラック/サイバーグレー ￥4000,マットグレー,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、ブラック/プラチナパールホワイト ￥4000、ブラック/シャイニングレッド ￥4000、チタンシルバー、サイバーグレー ￥2000、ブラック/サイバーグレー ￥4000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、ブラック/プラチナパールホワイト ￥4000、ブラック/シャイニングレッド ￥4000、チタンシルバー、サイバーグレー ￥2000、ブラック/サイバーグレー ￥4000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,マットグレー,マットグレー,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、チタンシルバー、サイバーグレー ￥2000,墨晶ブラック、プラチナパールホワイト ￥2000、オパールシルバー、シャイニングレッド ￥2000、ブラック/プラチナパールホワイト ￥4000、ブラック/シャイニングレッド ￥4000、チタンシルバー、サイバーグレー ￥2000、ブラック/サイバーグレー ￥4000
颜色,カラー,内饰颜色,内装色,スターリーブラック,スターリーブラック、アンバーブラウン,スターリーブラック、アンバーブラウン、アイボリーホワイト,スターリーブラック,スターリーブラック,スターリーブラック、オーロラレッド,スターリーブラック、オーロラレッド,スターリーブラック,スターリーブラック,スターリーブラック、アンバーブラウン,スターリーブラック、アンバーブラウン,スターリーブラック、オーロラレッド,スターリーブラック、アイボリーホワイト,スターリーブラック、オーロラレッド,スターリーブラック、アイボリーホワイト,スターリーブラック,スターリーブラック,スターリーブラック、アイボリーホワイト,スターリーブラック、オーロラレッド
选装包,オプションパッケージ,智行包,スマートパッケージ,-,-,○ TSS 3.0拡張パッケージ（LCAレーンチェンジアシスト、FCTA前方交通横断警告システム、DMCドライバー状態監視システム含む）オプション（3500元）,○ TSS 3.0拡張パッケージ（LCAレーンチェンジアシスト、FCTA前方交通横断警告システム、DMCドライバー状態監視システム含む）オプション（3500元）,-,○ TSS 3.0拡張パッケージ（LCAレーンチェンジアシスト、FCTA前方交通横断警告システム、DMCドライバー状態監視システム含む）オプション（3500元）,○ TSS 3.0拡張パッケージ（LCAレーンチェンジアシスト、FCTA前方交通横断警告システム、DMCドライバー状態監視システム含む）オプション（3500元）,○ TSS 3.0拡張パッケージ（LCAレーンチェンジアシスト、FCTA前方交通横断警告システム、DMCドライバー状態監視システム含む）オプション（3500元）,-,-,-,-,○ TSS 3.0拡張パッケージ（LCAレーンチェンジアシスト、FCTA前方交通横断警告システム、DMCドライバー状態監視システム含む）オプション（3500元）,○ TSS 3.0拡張パッケージ（LCAレーンチェンジアシスト、FCTA前方交通横断警告システム、DMCドライバー状態監視システム含む）オプション（3500元）,-,-,-,-,-
选装包,オプションパッケージ,尊享座椅包,プレミアムシートパッケージ,-,-,○ 内容：前席シートヒーター/ベンチレーション機能、ステアリング電動調整、運転席シートメモリー＆スマート出入り機能、外側ドアミラー位置メモリー、ウェルカムライト機能、スマートPM2.5フィルターシステム（PM2.5状態表示付き）オプション（5000元）,-,-,○ 内容：前席シートヒーター/ベンチレーション機能、ステアリング電動調整、運転席シートメモリー＆スマート出入り機能、外側ドアミラー位置メモリー、ウェルカムライト機能、スマートPM2.5フィルターシステム（PM2.5状態表示付き）オプション（5000元）,○ 内容：前席シートヒーター/ベンチレーション機能、ステアリング電動調整、運転席シートメモリー＆スマート出入り機能、外側ドアミラー位置メモリー、ウェルカムライト機能、スマートPM2.5フィルターシステム（PM2.5状態表示付き）オプション（5000元）,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,律动氛围包,リズムアンビエントパッケージ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ 内容：64色調整可能なウイングアンビエントライト、IP高級テクスチャーパネル、スマート香りシステム（3種の香り含む）オプション（2000元）,○ 内容：64色調整可能なウイングアンビエントライト、IP高級テクスチャーパネル、スマート香りシステム（3種の香り含む）オプション（2000元）
