セクション,セクション_ja,項目,項目_ja,2026年モデル 525Li ラグジュアリーセット,2026年モデル 525Li Mスポーツセット,2026年モデル 530Li 先進型 ラグジュアリーセット,2026年モデル 530Li 先進型 Mスポーツセット,2026年モデル 530Li xDrive Mスポーツセット,2026年モデル 530Li プレミアム型 ラグジュアリーセット,2026年モデル 530Li プレミアム型 Mスポーツセット,2025年モデル 525Li ラグジュアリーセット,2025年モデル 525Li Mスポーツセット,2025年モデル 530Li 先進型 ラグジュアリーセット,2025年モデル 530Li 先進型 Mスポーツセット,2025年モデル 530Li xDrive ラグジュアリーセット,2025年モデル 530Li xDrive Mスポーツセット,2025年モデル 530Li プレミアム型 ラグジュアリーセット,2025年モデル 530Li プレミアム型 Mスポーツセット
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）",● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,"前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）",● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）",● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,"前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）","前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）（2,400元）",● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（4方向）
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席,● 運転席 / 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター＆ベンチレーション付き,● ヒーター＆ベンチレーション付き,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター付き,● ヒーター＆ベンチレーション付き,● ヒーター＆ベンチレーション付き
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席 助手席,● 運転席 助手席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席 助手席,● 運転席 助手席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,"○ Harman/Kardon（6,000元）","○ Harman/Kardon（6,000元）","Harman/Kardon Bowers & Wilkins（6,000元）","Harman/Kardon Bowers & Wilkins（6,000元）","Harman/Kardon Bowers & Wilkins（6,000元）",● Bowers & Wilkins,● Bowers & Wilkins,"○ Harman/Kardon Bowers & Wilkins（6,000元）","○ Harman/Kardon Bowers & Wilkins（6,000元）","Harman/Kardon Bowers & Wilkins（6,000元）","Harman/Kardon Bowers & Wilkins（6,000元）","Harman/Kardon Bowers & Wilkins（6,000元）","Harman/Kardon Bowers & Wilkins（6,000元）",● Bowers & Wilkins,● Bowers & Wilkins
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,6スピーカー 12スピーカー,6スピーカー 12スピーカー,12スピーカー 18スピーカー,12スピーカー 18スピーカー,12スピーカー 18スピーカー,● 18スピーカー,● 18スピーカー,12スピーカー 18スピーカー 未確認,12スピーカー 18スピーカー 未確認,12スピーカー 18スピーカー,12スピーカー 18スピーカー,12スピーカー 18スピーカー,12スピーカー 18スピーカー,● 18スピーカー,● 18スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,"○（5,600元）","○（5,600元）","○（5,600元）","○（5,600元）","○（5,600元）",●,●,"○（5,600元）","○（5,600元）","○（5,600元）","○（5,600元）","○（5,600元）","○（5,600元）",●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,"ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 8,000元 ロックグレー","ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 8,000元 ロックグレー","ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 8,000元 ロックグレー","ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 8,000元 ロックグレー","ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 8,000元 ロックグレー",ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー ロックグレー,ジェムブルー ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー ロックグレー,"ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 23,100元 サンドゴールドレッド ロックグレー","ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 23,100元 サンドゴールドレッド ロックグレー","ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 23,100元 サンドゴールドレッド ロックグレー","ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 23,100元 サンドゴールドレッド ロックグレー","ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 23,100元 サンドゴールドレッド ロックグレー","ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 23,100元 サンドゴールドレッド ロックグレー","ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 23,100元 サンドゴールドレッド ロックグレー","ミネラルホワイト カーボンブラック クォンタムブルー シャイニングブロンズグレー マットピュアグレー 23,100元 サンドゴールドレッド ロックグレー"
颜色,カラー,内饰颜色,内装色,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブルゴーニュレッド ブロンズブラウン/アトラスグレー ブルゴーニュレッド/ブラック ネイビーブルー/ブラック,ブルゴーニュレッド ブロンズブラウン/アトラスグレー ブルゴーニュレッド/ブラック ネイビーブルー/ブラック,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン ブルゴーニュレッド ダークコーヒー,ブロンズブラウン/アトラスグレー ブルゴーニュレッド/ブラック ネイビーブルー/ブラック,ブロンズブラウン/アトラスグレー ブルゴーニュレッド/ブラック ネイビーブルー/ブラック
选装包,オプションパッケージ,智能泊车辅助Pro套装,スマートパーキングアシストProパッケージ,○ 含む：インテリジェントパーキングアシストPro、運転席側自動防眩ミラー オプション（6900元）,○ 含む：インテリジェントパーキングアシストPro、運転席側自動防眩ミラー オプション（6900元）,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,金色外观套装,ゴールドエクステリアパッケージ,○ 含む：19インチエアロホイール、934タイプスポーク、チタンゴールド、チタンゴールドエクステリアパーツ オプション（8800元）,○ 含む：19インチエアロホイール、934タイプスポーク、チタンゴールド、チタンゴールドエクステリアパーツ オプション（8800元）,○ 含む：19インチエアロホイール、934タイプスポーク、チタンゴールド、チタンゴールドエクステリアパーツ オプション（8800元）,○ 含む：19インチエアロホイール、934タイプスポーク、チタンゴールド、チタンゴールドエクステリアパーツ オプション（8800元）,-,-,-,○ 含む：19インチエアロホイール、934タイプスポーク、チタンゴールド、チタンゴールドエクステリアパーツ オプション（8800元）,○ 含む：19インチエアロホイール、934タイプスポーク、チタンゴールド、チタンゴールドエクステリアパーツ オプション（8800元）,○ 含む：19インチエアロホイール、934タイプスポーク、チタンゴールド、チタンゴールドエクステリアパーツ オプション（8800元）,○ 含む：19インチエアロホイール、934タイプスポーク、チタンゴールド、チタンゴールドエクステリアパーツ オプション（8800元）,-,-,-,-
选装包,オプションパッケージ,曜夜套装,ヨルヤパッケージ,-,○ 含む：カスタムブラックハイグロスモールディング、カスタムブラックハイグロスエクステリアパーツ オプション（2000元）,-,○ 含む：カスタムブラックハイグロスモールディング、カスタムブラックハイグロスエクステリアパーツ オプション（2000元）,○ 含む：カスタムブラックハイグロスモールディング、カスタムブラックハイグロスエクステリアパーツ オプション（2000元）,-,-,-,○ 含む：カスタムブラックハイグロスモールディング、カスタムブラックハイグロスエクステリアパーツ オプション（2000元）,-,○ 含む：カスタムブラックハイグロスモールディング、カスタムブラックハイグロスエクステリアパーツ オプション（2000元）,-,○ 含む：カスタムブラックハイグロスモールディング、カスタムブラックハイグロスエクステリアパーツ オプション（2000元）,-,○ 含む：カスタムブラックハイグロスモールディング、カスタムブラックハイグロスエクステリアパーツ オプション（2000元）
选装包,オプションパッケージ,高配金色外观套装,上級ゴールドエクステリアパッケージ,-,-,-,-,○ チタンゴールドエクステリアパーツ、20インチエアロホイール、937タイプスポーク、チタンゴールド オプション（13000元）,-,○ 含む：20インチエアロホイール、937タイプホイール、チタンゴールド、チタンゴールドエクステリアパーツ オプション（6800元）,-,-,-,-,○ チタンゴールドエクステリアパーツ、20インチエアロホイール、937タイプスポーク、チタンゴールド オプション（13000元）,○ チタンゴールドエクステリアパーツ、20インチエアロホイール、937タイプスポーク、チタンゴールド オプション（13000元）,-,○ 含む：20インチエアロホイール、937タイプホイール、チタンゴールド、チタンゴールドエクステリアパーツ オプション（6800元）
选装包,オプションパッケージ,舒适套装,コンフォートパッケージ,-,-,-,-,-,-,-,○ 含む：キーレスエントリー（BMWデジタルキー含む）、インテリジェントパーキングアシストPro、運転席側自動防眩ミラー、Harman/Kardonプレミアムサウンドシステム オプション（16500元）,○ 含む：キーレスエントリー（BMWデジタルキー含む）、インテリジェントパーキングアシストPro、運転席側自動防眩ミラー、Harman/Kardonプレミアムサウンドシステム オプション（16500元）,-,-,-,-,-,-
