セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Pro+4WD 6人乗り,2026年モデル 増程 Max4WD 6人乗り,2026年モデル 増程 Ultra4WD 6人乗り,2026年モデル 増程 Pro+4WD 5人乗り,2026年モデル 増程 Max4WD 5人乗り,2026年モデル 増程 Ultra4WD 5人乗り,2026年モデル 純電 Max長距離版 6人乗り,2026年モデル 純電 Max長距離版 5人乗り,2026年モデル 純電 Max4WD 6人乗り,2026年モデル 純電 Ultra4WD 6人乗り,2026年モデル 純電 Max4WD 5人乗り,2026年モデル 純電 Ultra4WD 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Pro 6人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 5人乗り,2024年モデル 1.5T インテリドライブ4WD Pro 6人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 5人乗り,2024年モデル 1.5T インテリドライブ後輪駆動Ultra 6人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 5人乗り,2024年モデル 1.5T インテリドライブ4WD Ultra 6人乗り
驾驶功能,運転機能,巡航系统,クルーズシステム,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール,● 全速度域対応アダプティブクルーズコントロール
驾驶功能,運転機能,辅助驾驶系统,運転支援システム,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS,● HUAWEI ADS
驾驶功能,運転機能,辅助驾驶等级,運転支援レベル,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2,● レベル2
驾驶功能,運転機能,倒车车侧预警系统,後退時車両接近警報,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,卫星导航系统,衛星ナビゲーションシステム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,导航路况信息显示,ナビ道路状況情報表示,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,地图品牌,地図ブランド,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）,● 高徳（ガオデ）
驾驶功能,運転機能,高精地图,高精度地図,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,車線中央維持,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車支援,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
驾驶功能,運転機能,循迹倒车,トレースバック駐車,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジ支援,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,信号灯识别,信号機認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,● 高速道路区間,"○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間",● 高速道路区間,"○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間",● 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,"○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間","○ 市街地区間
● 高速道路区間"
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动吸合车门,電動ソフトクローズドア,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,○ 車両全体,○ 車両全体,○ 車両全体,○ 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,电动后备厢位置记忆,電動トランク位置メモリー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车顶行李架,ルーフレール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,"● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー
● スマートウォッチ／リストバンドキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー","● リモコンキー
● Bluetoothキー
● NFC／RFIDキー"
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
外观/防盗,エクステリア・盗難防止,隐藏电动门把手,自動格納式ドアハンドル,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,主动闭合式进气格栅,アクティブグリルシャッター,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车侧脚踏板,サイドステップ,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動（6800元）,○ 電動,○ 電動,○ 電動,○ 電動,○ 電動,○ 電動,○ 電動,○ 電動
外观/防盗,エクステリア・盗難防止,电池预加热,バッテリー予熱,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,对外放电,外部放電機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,辅助驾驶灯,運転支援ライト,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● セグメント式開閉不可サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体,● 車両全体
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,侧窗多层隔音玻璃,サイドウインドウ多層防音ガラス,"● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席","● 前席
● 後席"
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席サイドウインドウサンシェード,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,● 手動,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,后排侧隐私玻璃,後席サイドプライバシーガラス,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,"● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯","● 運転席＋照明灯
● 助手席＋照明灯"
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー機能,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式,● 雨量感知式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー記憶機能
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 16.1インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ,● 15.6インチ
屏幕/系统,ディスプレイ・システム,中控屏幕类型,センターコンソール画面タイプ,-,-,-,-,-,-,-,-,-,-,-,-,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD,● LCD
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センターコンソール画面解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 3K解像度,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080,● 1920×1080
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンターテインメント画面サイズ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● HUAWEI HiCar対応,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング,● 純正連携／ミラーリング
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ
● シートヒーター
● シートベンチレーション
● シートマッサージ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● サンルーフ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）,● 小芸（シャオイー）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,音声起動ワード不要機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● 6ゾーン,● 6ゾーン,● 6ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 6ゾーン,● 4ゾーン,● 6ゾーン,● 6ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン,● 4ゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,音声連続認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認識,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS
屏幕/系统,ディスプレイ・システム,后排液晶屏幕,後席液晶画面,○,○,●,○,○,●,○,○,○,●,○,●,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕尺寸,後席液晶画面サイズ,○ 17.3インチ,○ 17.3インチ,● 17.3インチ,○ 17.3インチ,○ 17.3インチ,● 17.3インチ,○ 17.3インチ,○ 17.3インチ,○ 17.3インチ,● 17.3インチ,○ 17.3インチ,● 17.3インチ,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,后排液晶屏幕分辨率,後席液晶画面解像度,○ 3K,○ 3K,● 3K解像度,○ 3K,○ 3K,● 3K解像度,○ 3K,○ 3K,○ 3K,● 3K解像度,○ 3K,● 3K解像度,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,后排多媒体屏幕数量,後席マルチメディア画面数,○ 1個,○ 1個,● 1個,○ 1個,○ 1個,● 1個,○ 1個,○ 1個,○ 1個,● 1個,○ 1個,● 1個,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,后排控制多媒体,後席マルチメディア操作,○,○,●,○,○,●,○,○,○,●,○,●,●,●,●,●,●,●,●,●
