セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 5人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 2WD ラグジュアリー 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD エリート 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD ラグジュアリー 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレミアム 7人乗り,2026年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレステージ 7人乗り,2026年モデル 380T 4WD ラグジュアリー 7人乗り,2026年モデル 380T 4WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 5人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD エリート 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD ラグジュアリー 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 2WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD エリート 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD ラグジュアリー 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレミアム 7人乗り,2024年モデル 2.5L インテリジェントハイブリッド 双擎 4WD プレステージ 7人乗り,2024年モデル 380T 4WD ラグジュアリー 7人乗り,2024年モデル 380T 4WD プレミアム 7人乗り,2024年モデル 380T 4WD プレステージ 7人乗り
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,-,-,-,● こんにちは、小悦（音声アシスタント名）,-,-,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）,-,● こんにちは、小悦（音声アシスタント名）,● こんにちは、小悦（音声アシスタント名）
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,-,-,● デュアルゾーン,-,-,● デュアルゾーン,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話せる機能,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
屏幕/系统,ディスプレイ・システム,声纹识别,声紋認証,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,● Qualcomm Snapdragon 8155P,-,-,-,● Qualcomm Snapdragon 8155,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,-,-,● 4G,-,-,● 4G,● 4G,-,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,●,●,-,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● ドア操作 車両始動 エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約,● エアコン操作 車両状態確認・診断 車両位置特定・車両検索 オーナーサービス（充電スタンド・ガソリンスタンド・駐車場検索等） メンテナンス予約・修理予約
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● プラスチック,● プラスチック,● 本革,● 本革,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリングホイール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）,● カラー（多色）
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,●,●,-,●,-,-,-,●,-,-,●,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目 ミラーデジタルインナーミラー（流媒体）,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 手動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目 ミラーデジタルインナーミラー（流媒体）,● 自動防眩目ミラー,● 自動防眩目ミラー,● 自動防眩目 ミラーデジタルインナーミラー（流媒体）
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● Type-C,● Type-C,● Type-C,● USB Type-C,● Type-C,● Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席3個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席2個／後席2個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 本革 合成皮革,● 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● ファブリック（布地）,● ファブリック（布地）,● 本革 合成皮革,● 本革 合成皮革,● ファブリック（布地）,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）,● 前後調整 背もたれ調整 高さ調整（4方向） 腰部サポート（2方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,● 運転席／助手席,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,-,● 運転席／助手席,● 運転席／助手席,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● シートヒーター ベンチレーション,-,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,● シートヒーター ベンチレーション,-,-,● シートヒーター,● シートヒーター,-,● シートヒーター,● シートヒーター,● シートヒーター ベンチレーション,● シートヒーター,● シートヒーター,● シートヒーター ベンチレーション
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,● 運転席,-,-,-,-,-,-,-,-,-,● 運転席,-,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,●,-,●,●,●,●,●,-,-,●,●,-,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整,● 前後調整 背もたれ調整
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,-,-,● シートヒーター,● シートヒーター,-,● シートヒーター,-,-,-,-,-,-,-,● シートヒーター,-,-,● シートヒーター
座椅配置,シート装備,第三排座椅调节,3列目シート調整,-,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,● リクライニング調整,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,-,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,-,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）,● 2-3-2（シート配列）
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,● JBL（オーディオブランド）,-,-,-,-,-,-,-,-,-,● JBL（オーディオブランド）,-,-,● JBL（オーディオブランド）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 11スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 6スピーカー,● 11スピーカー,● 6スピーカー,● 6スピーカー,● 11スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,-,-,-,-,● 64色（イルミネーション）,-,-,-,-,-,-,-,-,-,● 単色（イルミネーション）,-,-,● 単色（イルミネーション）
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-
特色配置,特徴装備,nanoeTM纳米水离子,nanoeTMナノ水イオン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●
颜色,カラー,外观颜色,外装色,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー、サイバーゴールド ￥2000,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー,スターライトレッド ￥2000、ジェムブルー、インクブラック、プラチナパールホワイト ￥2000、オパールシルバー
颜色,カラー,内饰颜色,内装色,スターリーブラック,スターリーブラック,スターリーブラック,スターリーブラック,スターリーブラック,スターリーブラック、アイボリーホワイト、スターリーブラウン,スターリーブラック、アイボリーホワイト、スターリーブラウン,スターリーブラック,スターリーブラック、アイボリーホワイト、スターリーブラウン,スターリーブラック,スターリーブラック,スターリーブラック,スターリーブラック、アンバーブラウン ￥2000、アイボリーホワイト,スターリーブラック,スターリーブラック,スターリーブラック、アンバーブラウン ￥2000、アイボリーホワイト,スターリーブラック、アンバーブラウン ￥2000、アイボリーホワイト,スターリーブラック,スターリーブラック、アンバーブラウン ￥2000、アイボリーホワイト,スターリーブラック、アンバーブラウン ￥2000、アイボリーホワイト
