セクション,項目,汉兰达 2026款 2.5L智能电混双擎两驱精英版 5座,汉兰达 2026款 2.5L智能电混双擎两驱精英版 7座,汉兰达 2026款 2.5L智能电混双擎两驱豪华版 7座,汉兰达 2026款 2.5L智能电混双擎四驱精英版 7座,汉兰达 2026款 2.5L智能电混双擎四驱豪华版 7座,汉兰达 2026款 2.5L智能电混双擎四驱尊贵版 7座,汉兰达 2026款 2.5L智能电混双擎四驱至尊版 7座,汉兰达 2026款 380T 四驱豪华版 7座,汉兰达 2026款 380T 四驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎两驱精英版 5座,汉兰达 2024款 2.5L智能电混双擎两驱精英版 7座,汉兰达 2024款 2.5L智能电混双擎两驱豪华版 7座,汉兰达 2024款 2.5L智能电混双擎两驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎四驱精英版 7座,汉兰达 2024款 2.5L智能电混双擎四驱豪华版 7座,汉兰达 2024款 2.5L智能电混双擎四驱尊贵版 7座,汉兰达 2024款 2.5L智能电混双擎四驱至尊版 7座,汉兰达 2024款 380T 四驱豪华版 7座,汉兰达 2024款 380T 四驱尊贵版 7座,汉兰达 2024款 380T 四驱至尊型 7座
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,● JBL,-,-,-,-,-,-,-,-,-,● JBL,-,-,● JBL
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 11喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 11喇叭,● 6喇叭,● 6喇叭,● 11喇叭
音响/车内灯光,触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,● 64色,-,-,-,-,-,-,-,-,-,● 单色,-,-,● 单色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,●,-,-,●
空调/冰箱,空气质量监测,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-
特色配置,nanoeTM纳米水离子,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●
颜色,外观颜色,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银 赛博金 ￥2000,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银,星钻红 ￥2000 宝石蓝 墨晶黑 铂金珍珠白 ￥2000 欧泊银
颜色,内饰颜色,星空黑,星空黑,星空黑,星空黑,星空黑,星空黑 象牙白 星汉棕,星空黑 象牙白 星汉棕,星空黑,星空黑 象牙白 星汉棕,星空黑,星空黑,星空黑,星空黑 琥珀棕 ￥2000 象牙白,星空黑,星空黑,星空黑 琥珀棕 ￥2000 象牙白,星空黑 琥珀棕 ￥2000 象牙白,星空黑,星空黑 琥珀棕 ￥2000 象牙白,星空黑 琥珀棕 ￥2000 象牙白
