セクション,セクション_ja,項目,項目_ja,2025年モデル 卓越版 230TCI MT快適仕様 5人乗り,2025年モデル 卓越版 230TCI MT快適仕様 7人乗り,2025年モデル 卓越版 230TCI AT豪華仕様 5人乗り,2025年モデル 卓越版 230TCI AT豪華仕様 7人乗り,2025年モデル 290TGDI AT快適仕様 5人乗り,2024年モデル 230TCI MTトレンド仕様 5人乗り,2024年モデル 230TCI MTトレンド仕様 7人乗り,2024年モデル 230TCI ATトレンド仕様 5人乗り,2024年モデル 230TCI ATトレンド仕様 7人乗り,2024年モデル 230TCI AT新鋭仕様 5人乗り,2024年モデル 230TCI AT新鋭仕様 7人乗り,2026年モデル 虎型 鯤鵬310TGDI AT快適タイプ,2026年モデル 虎型 鯤鵬310TGDI AT豪華タイプ,2026年モデル 虎型 鯤鵬310TGDI AT上級タイプ,2026年モデル 虎型 鯤鵬310TGDI ATフラッグシップタイプ,2026年モデル 豹型 鯤鵬310TGDI AT快適タイプ,2026年モデル 豹型 鯤鵬310TGDI AT豪華タイプ,2026年モデル 豹型 鯤鵬310TGDI AT上級タイプ,2026年モデル 豹型 鯤鵬310TGDI ATフラッグシップタイプ
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 7インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ,● 10.25インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー,● 手動防眩目ミラー
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席1個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB/Type-C最大充電出力,-,-,-,-,-,-,-,-,-,-,-,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-,● 前席,● 前席,● 前席,-,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,-,-,-,-,-,-,-,-,● 50W,● 50W,● 50W,-,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジルーム12V電源ソケット,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮,● 合皮
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・上下調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）,● 前後調整・リクライニング調整・上下調整（2方向）・ランバーサポート（4方向）,● 前後調整・リクライニング調整・上下調整（2方向）・ランバーサポート（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整・レッグレスト調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整,● 前後調整・リクライニング調整・レッグレスト調整
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,-,-,-,-,-,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,● ヒーター,● ヒーター,● ヒーター,● ヒーター,● ヒーター,-,-,-,-,-,-,-,-,● ヒーター・ベンチレーション・マッサージ（運転席のみ）,● ヒーター・ベンチレーション・マッサージ,-,-,● ヒーター・ベンチレーション・マッサージ（運転席のみ）,● ヒーター・ベンチレーション・マッサージ
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,● 運転席,● 運転席,-,-,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 前後調整・リクライニング調整,● 背もたれ調整,● 前後調整・リクライニング調整,● 背もたれ調整,● 背もたれ調整,● 前後調整・リクライニング調整,● 背もたれ調整,● 前後調整・リクライニング調整,● 背もたれ調整,● 前後調整・リクライニング調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,后排小桌板,後部小テーブル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
座椅配置,シート装備,第三排座椅调节,3列目シート調整,-,● 背もたれ調整,-,● 背もたれ調整,-,-,● 背もたれ調整,-,● 背もたれ調整,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,-,● 2-3-2,-,● 2-3-2,-,-,● 2-3-2,-,● 2-3-2,-,● 2-3-2,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● マルチカラー,● マルチカラー,● マルチカラー,-,-,-,-,-,-,-,-,● マルチカラー,● マルチカラー,-,-,● マルチカラー,● マルチカラー
音响/车内灯光,オーディオ・室内照明,主动式环境氛围灯,アクティブアンビエントライト,-,-,●,●,-,-,-,-,-,-,-,-,-,●,●,-,-,●,●
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別調整,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●
颜色,カラー,外观颜色,外装色,パールホワイト・マーキュリーグレー,パールホワイト・マーキュリーグレー,パールホワイト・マーキュリーグレー,パールホワイト・マーキュリーグレー,パールホワイト・オブシディアンブラック・クォンタムグレー・クラウドグレー,パールホワイト・オブシディアンブラック・ファントムグレー,パールホワイト・オブシディアンブラック・ファントムグレー,パールホワイト・オブシディアンブラック,パールホワイト,パールホワイト・オブシディアンブラック,パールホワイト・オブシディアンブラック,パールホワイト・グラファイトブラック・マットグレー・ディープスペースグレー・ムーンシルバー,パールホワイト・グラファイトブラック・マットグレー・ディープスペースグレー・ムーンシルバー,パールホワイト・グラファイトブラック・マットグレー・ディープスペースグレー・ムーンシルバー,パールホワイト・グラファイトブラック・マットグレー・ディープスペースグレー・ムーンシルバー,パールホワイト・グラファイトブラック・マットグレー・ジャングルグリーン・ムーンシルバー,パールホワイト・グラファイトブラック・マットグレー・ジャングルグリーン・ムーンシルバー,パールホワイト・グラファイトブラック・マットグレー・ジャングルグリーン・ムーンシルバー,パールホワイト・グラファイトブラック・マットグレー・ジャングルグリーン・ムーンシルバー
颜色,カラー,内饰颜色,内装色,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック・ブラック/ブラウン,ブラック/ブラウン,ブラック/ブラウン,ブラック,ブラック,ブラック/ブラウン,ブラック/ブラウン
