セクション,項目,阿维塔07 2026款 Elite 增程版,阿维塔07 2026款 Elite 增程版 52.01kWh,阿维塔07 2026款 Max+ 增程版,阿维塔07 2026款 Max+ 增程版 52.01kWh,阿维塔07 2026款 Ultra 增程版,阿维塔07 2026款 Ultra 增程版四驱,阿维塔07 2026款 Elite 纯电版,阿维塔07 2026款 Max+ 纯电版,阿维塔07 2026款 Ultra 纯电版四驱,阿维塔07 2024款 改款 Pro+纯电版,阿维塔07 2024款 Pro+纯电版,阿维塔07 2024款 Max纯电版,阿维塔07 2024款 Max纯电探索版,阿维塔07 2024款 改款 Pro+增程版,阿维塔07 2024款 Pro+增程版,阿维塔07 2024款 Max增程版,阿维塔07 2024款 Max增程版四驱,阿维塔07 2024款 Ultra增程版四驱,阿维塔07 2024款 Max增程探索版,阿维塔07 2024款 Max纯电版四驱,阿维塔07 2024款 Ultra纯电版四驱
屏幕/系统,语音识别控制系统,"● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩"
屏幕/系统,语音助手唤醒词,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔,● 小塔小塔
屏幕/系统,语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域,● 四区域
屏幕/系统,语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,可见即可说,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,面部识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,应用商店,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,车载智能系统,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS,● HarmonyOS
屏幕/系统,后排多媒体屏幕数量,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,● 1个,-,-,-,● 1个,-,-,-,-,-,-,-
屏幕/系统,后排控制多媒体,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,-,-,-,-,-
智能化配置,车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车内生物监测系统,-,-,-,-,-,-,-,-,-,-,●,●,●,-,●,●,●,●,●,●,●
智能化配置,手机APP远程功能,"● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","● 车门控制
● 车窗控制
● 车辆启动
● 充电管理
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车"
智能化配置,模拟声浪,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,车载KTV,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘材质,"● 皮质
○ 真皮","● 皮质
○ 真皮","● 皮质
○ 真皮","● 皮质
○ 真皮",● 真皮,● 真皮,"● 皮质
○ 真皮","● 皮质
○ 真皮",● 真皮,"● 皮质
○ 真皮",● 皮质,"● 皮质
○ 真皮","● 皮质
○ 真皮","● 皮质
○ 真皮",● 皮质,"● 皮质
○ 真皮","● 皮质
○ 真皮",● 真皮,"● 皮质
○ 真皮","● 皮质
○ 真皮",● 真皮
方向盘/内后视镜,方向盘位置调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节,● 电动上下+前后调节
方向盘/内后视镜,换挡形式,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡,● 电子式怀挡换挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸,● 35.4英寸
方向盘/内后视镜,仪表盘屏幕分辨率（px）,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K,● 4K
方向盘/内后视镜,内后视镜功能,"● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体","● 自动防眩目
● 流媒体",● 自动防眩目,● 自动防眩目,● 自动防眩目,"● 自动防眩目
● 流媒体",● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,USB/Type-C接口数量,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个,● 前排2个/后排1个
车内充电,USB/Type-C最大充电功率,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 27W,● 60W,● 60W,● 60W,● 27W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W,● 60W
车内充电,手机无线充电功能,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,-,-,-,● 50W,-,-,-,-,-,-,-
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,"○ 真皮
● 仿皮","○ 真皮
● 仿皮","○ 真皮
● 仿皮","○ 真皮
● 仿皮",● 真皮,● 真皮,"○ 真皮
● 仿皮","○ 真皮
● 仿皮",● 真皮,"○ 真皮
● 仿皮",● 仿皮,"○ 真皮
● 仿皮","○ 真皮
● 仿皮","○ 真皮
● 仿皮",● 仿皮,"○ 真皮
● 仿皮","○ 真皮
● 仿皮",● 真皮,"○ 真皮
● 仿皮","○ 真皮
● 仿皮",● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
座椅配置,主/副驾驶座电动调节,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●,主 ● / 副 ●
座椅配置,前排座椅功能,"● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)","● 加热
● 通风
● 按摩
● 头枕扬声器(仅驾驶位)"
座椅配置,电动座椅记忆功能,"● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位","● 驾驶位
● 副驾驶位"
座椅配置,副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅电动调节,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,第二排座椅功能,● 加热,● 加热,● 加热,● 加热,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",● 加热,● 加热,"● 加热
● 通风
● 按摩",● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,● 加热,"● 加热
● 通风
● 按摩",● 加热,● 加热,"● 加热
● 通风
● 按摩"
座椅配置,零重力座椅,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排,● 第一排
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝,● Meridian英国之宝
音响/车内灯光,扬声器数量,"● 16喇叭
○ 25喇叭 (10000元)","● 16喇叭
○ 25喇叭 (10000元)",● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭,"● 16喇叭
○ 25喇叭 (10000元)",● 25喇叭,● 25喇叭,● 16喇叭,● 16喇叭,● 25喇叭,● 25喇叭,● 16喇叭,● 16喇叭,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭,● 25喇叭
音响/车内灯光,车内环境氛围灯,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
音响/车内灯光,主动式环境氛围灯,●,●,●,●,●,●,●,●,●,●,-,-,-,●,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,热泵空调,-,-,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内香氛装置,-,-,-,-,●,●,-,-,●,-,-,●,●,-,-,●,●,●,●,●,●
空调/冰箱,车载冰箱,○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○ (2000元),○,-,-,-,○,-,-,-,-,-,-,-
特色配置,HALO交互屏,-,-,-,-,-,-,-,-,○,-,-,-,-,-,-,-,-,○,-,-,○
颜色,外观颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,内饰颜色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,尊享套装,○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),-,-,○ 选配 (10000元),○ 选配 (10000元),-,○ 选配 (10000元),-,○ 选配 (10000元),○ 选配 (10000元),○ 选配 (10000元),-,○ 选配 (10000元),○ 选配 (10000元),-,○ 选配 (10000元),○ 选配 (10000元),-
