セクション,項目,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智尚版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智享版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智逸版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 四驱智逸版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智睿版,本田CR-V 2026款 全球30年荣耀款 2.0L e:HEV 两驱智臻版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱活力版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱锋尚5座版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱锋尚7座版,本田CR-V 2026款 全球30年荣耀款 240TURBO 两驱智领版,本田CR-V 2026款 全球30年荣耀款 240TURBO 四驱臻享版,本田CR-V 2024款 2.0L e:HEV 两驱智逸版,本田CR-V 2024款 2.0L e:HEV 两驱智睿版,本田CR-V 2024款 240TURBO 两驱活力版 5座,本田CR-V 2024款 240TURBO 两驱锋尚版 5座,本田CR-V 2024款 240TURBO 两驱锋尚版 7座,本田CR-V 2024款 240TURBO 两驱智领版 5座,本田CR-V 2024款 240TURBO 两驱臻享版 7座,本田CR-V 2024款 240TURBO 四驱臻享版 5座,本田CR-V 2024款 240TURBO 四驱尊耀版 5座,本田CR-V 2023款 2.0L e:HEV 两驱智尚版,本田CR-V 2023款 2.0L e:HEV 两驱智享版,本田CR-V 2023款 2.0L e:HEV 四驱智尊版
车内充电,手机无线充电功能,-,-,-,-,● 前排,● 前排,-,-,-,-,● 前排,● 前排,● 前排,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,-,● 前排
车内充电,手机无线充电功率,-,-,-,-,● 50W,● 50W,-,-,-,-,● 50W,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 真皮,● 织物,● 织物,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(4向) 腰部支撑(4向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,● 主 / 副,-,-,● 主 / 副
座椅配置,前排座椅功能,-,-,● 加热 通风,● 加热 通风,● 加热 通风,● 加热 通风,-,-,-,● 加热 通风,● 加热 通风,-,● 加热 通风,-,-,-,-,● 加热,-,● 加热 通风,-,-,● 加热 通风
座椅配置,电动座椅记忆功能,-,-,-,-,● 驾驶位,● 驾驶位,-,-,-,-,-,-,● 驾驶位,-,-,-,-,-,-,● 驾驶位,-,-,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,第二排座椅功能,-,-,-,● 加热,● 加热,● 加热,-,-,-,-,-,-,● 加热,-,-,-,-,-,-,● 加热,-,-,● 加热
座椅配置,座椅布局,-,-,-,-,-,-,-,-,● 2-3-2,-,-,-,-,-,-,● 2-3-2,-,● 2-3-2,-,-,-,-,-
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,● BOSE,-,-,-,-,● BOSE,-,-,-,-,-,-,-,-,● BOSE,-,-,● BOSE
音响/车内灯光,扬声器数量,● 4喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 4喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 8喇叭,● 8喇叭,● 4喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 8喇叭,● 12喇叭,● 4喇叭,● 4喇叭,● 12喇叭
音响/车内灯光,触摸式阅读灯,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●,-,-,-
音响/车内灯光,车内环境氛围灯,-,-,● 多色,● 多色,● 多色,● 多色,-,-,-,-,-,-,-,-,-,-,-,-,-,● 单色,-,-,● 单色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,●,●,●,●,●,-,-,-,●,●,●,●,-,-,-,●,●,●,●,-,-,●
空调/冰箱,车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,●,●,●,-,-,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,-,●,●,●,●,-,-,●
颜色,外观颜色,彩晶黑 皓月白 摩登灰 烟雨青,彩晶黑 皓月白 摩登灰 烟雨青,彩晶黑 皓月白 摩登灰 烟雨青,彩晶黑 皓月白 摩登灰 烟雨青,彩晶黑 皓月白 摩登灰 烟雨青,彩晶黑 皓月白 摩登灰 烟雨青,彩晶黑 晶耀白 摩登灰,彩晶黑 晶耀白 摩登灰,彩晶黑 晶耀白 摩登灰,彩晶黑 晶耀白 摩登灰,彩晶黑 晶耀白 摩登灰,彩晶黑 雅韵金 皓月白 赤焰红 星辰蓝,彩晶黑 雅韵金 皓月白 赤焰红 星辰蓝,彩晶黑 赤霞红 雅韵金 晶耀白 星辰蓝,彩晶黑 赤霞红 雅韵金 晶耀白 星辰蓝,彩晶黑 赤霞红 雅韵金 晶耀白 星辰蓝,彩晶黑 赤霞红 雅韵金 晶耀白 星辰蓝,彩晶黑 赤霞红 雅韵金 晶耀白 星辰蓝,彩晶黑 赤霞红 雅韵金 晶耀白 星辰蓝,彩晶黑 赤霞红 雅韵金 晶耀白 星辰蓝,彩晶黑 雅韵金 皓月白 赤焰红 星辰蓝,彩晶黑 雅韵金 皓月白 赤焰红 星辰蓝,彩晶黑 雅韵金 皓月白 赤焰红 星辰蓝
颜色,内饰颜色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/灰色,黑色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色,黑色 黑色/棕色,黑色,黑色,黑色,黑色 黑色/棕色,黑色/棕色,黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色,黑色 黑色/棕色
