セクション,セクション_ja,項目,項目_ja,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智尚版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智享版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智逸版,2026年モデル グローバル30周年記念 2.0L e HEV 4WD 智逸版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智睿版,2026年モデル グローバル30周年記念 2.0L e HEV 2WD 智臻版,2026年モデル グローバル30周年記念 240TURBO 2WD 活力版,2026年モデル グローバル30周年記念 240TURBO 2WD 鋭尚 5人乗り,2026年モデル グローバル30周年記念 240TURBO 2WD 鋭尚 7人乗り,2026年モデル グローバル30周年記念 240TURBO 2WD 智領版,2026年モデル グローバル30周年記念 240TURBO 4WD 臻享版,2024年モデル 2.0L e HEV 2WD 智逸版,2024年モデル 2.0L e HEV 2WD 智睿版,2024年モデル 240TURBO 2WD 活力版 5人乗り,2024年モデル 240TURBO 2WD 鋭尚版 5人乗り,2024年モデル 240TURBO 2WD 鋭尚版 7人乗り,2024年モデル 240TURBO 2WD 智領版 5人乗り,2024年モデル 240TURBO 2WD 臻享版 7人乗り,2024年モデル 240TURBO 4WD 臻享版 5人乗り,2024年モデル 240TURBO 4WD 尊耀版 5人乗り,2023年モデル 2.0L e HEV 2WD 智尚版,2023年モデル 2.0L e HEV 2WD 智享版,2023年モデル 2.0L e HEV 4WD 智尊版
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,"● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラーメモリー
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラーメモリー
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラーメモリー
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● 施錠時自動格納","● 電動調整
● 電動格納
● ミラー加熱
● バック時自動下向き
● 施錠時自動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ,● タッチ液晶ディスプレイ
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ,● 10.1インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,"● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応","● CarPlay対応
● CarLife対応
● HUAWEI HiCar対応",● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン
● パワーウインドウ"
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ,● こんにちは、ホンダ
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン,● シングルゾーン
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect
智能化配置,スマート機能装備,车联网,車載ネットワーク,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドア操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● ウインドウ操作
● エンジン始動
● ライト操作
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索","● ドア操作
● エンジン始動
● エアコン操作
● 車両状態確認／診断
● 車両位置特定／車両探索"
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● プラスチック,● プラスチック,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● ボタン式シフト,● ボタン式シフト,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,多機能ステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,●,●,●,●,●,●,-,-,-,-,-,●,●,-,-,-,-,-,-,-,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,-,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 7インチ,● 7インチ,● 7インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 7インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,●
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 自動防眩,● 自動防眩,● 自動防眩,● 自動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 自動防眩,● 自動防眩,● 自動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,"● 自動防眩
● ストリーミングミラー","● 自動防眩
● ストリーミングミラー","● 自動防眩
● ストリーミングミラー",● 手動防眩,● 手動防眩,"● 自動防眩
● ストリーミングミラー"
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,● 前席,● 前席,-,-,-,-,● 前席,● 前席,● 前席,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,-,-,-,-,● 50W,● 50W,-,-,-,-,● 50W,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● 本革,● 本革,● 本革,● 本革,● 本革,● ファブリック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● ファブリック,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● ファブリック,● ファブリック,● 本革
座椅配置,シート装備,主座椅调节方式,運転席調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,-,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,-,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,-,-,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,"● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション",-,-,-,"● シートヒーター
● シートベンチレーション","● シートヒーター
● シートベンチレーション",-,"● シートヒーター
● シートベンチレーション",-,-,-,-,● シートヒーター,-,"● シートヒーター
● シートベンチレーション",-,-,"● シートヒーター
● シートベンチレーション"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,● 運転席,● 運転席,-,-,-,-,-,-,● 運転席,-,-,-,-,-,-,● 運転席,-,-,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,-,● シートヒーター,● シートヒーター,● シートヒーター,-,-,-,-,-,-,● シートヒーター,-,-,-,-,-,-,● シートヒーター,-,-,● シートヒーター
座椅配置,シート装備,座椅布局,シートレイアウト,-,-,-,-,-,-,-,-,● 2-3-2（7人乗り）,-,-,-,-,-,-,● 2-3-2（7人乗り）,-,● 2-3-2（7人乗り）,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,● BOSE（ボーズ）,-,-,-,-,● BOSE（ボーズ）,-,-,-,-,-,-,-,-,● BOSE（ボーズ）,-,-,● BOSE（ボーズ）
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 4スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー,● 4スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 4スピーカー,● 4スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,-,-,-,-,-,-,●,●,●,●,●,-,-,●,●,●,●,●,●,●,-,-,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,-,● 多色照明,● 多色照明,● 多色照明,● 多色照明,-,-,-,-,-,-,-,-,-,-,-,-,-,● 単色照明,-,-,● 単色照明
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
