セクション,セクション_ja,項目,項目_ja,2026年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2026年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ,2026年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り ラグジュアリー,2026年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り プレミアム,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り ラグジュアリー,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り プレミアム,2026年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り フラッグシップ,2025年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り ラグジュアリー,2025年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り プレミアム,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り スタイリッシュ,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 2WD 7人乗り ラグジュアリー,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り プレミアム,2025年モデル エクスプローラーL 2.0T EcoBoost Eハイブリッド 4WD 7人乗り STライン,2024年モデル エクスプローラーL 2.0T EcoBoost 2WD 7人乗り スタイリッシュ,2024年モデル エクスプローラーL 2.0T EcoBoost 4WD 7人乗り スタイリッシュ
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席2個,● 前席3個／後席2個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席2個,● 前席3個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,"● 前席
● 後席",-,"● 前席
● 後席","● 前席
● 後席",-,-,-,"● 前席
● 後席",-,-,"● 前席
● 後席","● 前席
● 後席",-,-
车内充电,車内充電設備,行李厢12V电源接口,トランク12V電源ポート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 本革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● レザー／スエード素材コンビ,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（2方向）"
座椅配置,シート装備,副座椅调节方式,助手席調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● 腰部サポート（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席 ● ／ 助手席,運転席 ● ／ 助手席,運転席● / 助手席●,運転席● / 助手席●,運転席 ● ／ 助手席,運転席● / 助手席●,運転席● / 助手席●,運転席● / 助手席●,運転席 ● ／ 助手席,運転席 ● ／ 助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● ヒーター付き,"● ヒーター付き
● ベンチレーション付き",● ヒーター付き,"● ヒーター付き
● ベンチレーション付き","● ヒーター付き
● ベンチレーション付き",-,-,● ヒーター付き,"● ヒーター付き
● ベンチレーション付き",-,● ヒーター付き,"● ヒーター付き
● ベンチレーション付き",● ヒーター付き,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● 運転席,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,●,-,●,●,-,-,-,●,-,-,●,●,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,○,●,○,●,●,-,-,○,●,-,○,●,●,-,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,● ヒーター付き,"● ヒーター付き
● ベンチレーション付き",● ヒーター付き,"● ヒーター付き
● ベンチレーション付き","● ヒーター付き
● ベンチレーション付き",-,-,-,"● ヒーター付き
● ベンチレーション付き",-,-,"● ヒーター付き
● ベンチレーション付き",● ヒーター付き,-,-
座椅配置,シート装備,第二排独立座椅,2列目独立シート,-,-,○,●,○,●,●,-,-,○,●,-,○,●,●,-,-
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-3-2（7人乗り）,● 2-3-2（7人乗り）,"● 2-3-2（7人乗り）
○ 2-2-3（7人乗り）","○ 2-3-2（7人乗り）
● 2-2-3（7人乗り）","● 2-3-2（7人乗り）
○ 2-2-3（7人乗り）","○ 2-3-2（7人乗り）
● 2-2-3（7人乗り）",● 2-2-3（7人乗り）,● 2-3-2（7人乗り）,● 2-3-2（7人乗り）,"● 2-3-2（7人乗り）
○ 2-2-3（7人乗り）","○ 2-3-2（7人乗り）
● 2-2-3（7人乗り）",● 2-3-2（7人乗り）,"● 2-3-2（7人乗り）
○ 2-2-3（7人乗り）","○ 2-3-2（7人乗り）
● 2-2-3（7人乗り）",● 2-2-3（7人乗り）,● 2-3-2（7人乗り）,● 2-3-2（7人乗り）
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート,● 分割可倒式シート
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●,前席● / 後席●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,● バング＆オルフセン,-,● バング＆オルフセン,● バング＆オルフセン,-,-,-,● バング＆オルフセン,-,-,● バング＆オルフセン,● バング＆オルフセン,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 8スピーカー,● 12スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色,● 7色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン,● 自動エアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
