セクション,項目,狮铂拓界 2025款 2.0L HEV 两驱豪华版,狮铂拓界 2025款 2.0L HEV 两驱尊贵版,狮铂拓界 2025款 2.0L HEV 两驱旗舰版,狮铂拓界 2025款 1.5T 两驱豪华版,狮铂拓界 2025款 1.5T 两驱豪华舒享版,狮铂拓界 2025款 1.5T 两驱尊贵智享版,狮铂拓界 2025款 1.5T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱豪华版,狮铂拓界 2025款 2.0T 两驱豪华舒享版,狮铂拓界 2025款 2.0T 两驱尊贵智享版,狮铂拓界 2025款 2.0T 两驱尊贵版,狮铂拓界 2025款 2.0T 两驱旗舰版,狮铂拓界 2025款 2.0T 四驱豪华版,狮铂拓界 2025款 2.0T 四驱豪华舒享版,狮铂拓界 2025款 2.0T 四驱尊贵智享版,狮铂拓界 2025款 2.0T 四驱尊贵版,狮铂拓界 2025款 2.0T 四驱旗舰版,狮铂拓界 2023款 2.0L HEV 两驱豪华版,狮铂拓界 2023款 2.0L HEV 两驱尊贵版,狮铂拓界 2023款 2.0L HEV 两驱旗舰版,狮铂拓界 2023款 1.5T 两驱豪华版,狮铂拓界 2023款 1.5T 两驱尊贵版,狮铂拓界 2023款 2.0T 两驱豪华版,狮铂拓界 2023款 2.0T 两驱尊贵版,狮铂拓界 2023款 2.0T 两驱旗舰版,狮铂拓界 2023款 2.0T 四驱豪华版,狮铂拓界 2023款 2.0T 四驱尊贵版,狮铂拓界 2023款 2.0T 四驱旗舰版
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸,● 12.3英寸
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
方向盘/内后视镜,ETC装置,○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元),○ (1000元)
车内充电,多媒体/充电接口,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C,● USB Type-C
车内充电,USB/Type-C接口数量,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,手机无线充电功能,-,● 前排,● 前排,-,-,-,● 前排,-,-,-,● 前排,● 前排,-,-,-,● 前排,● 前排,-,● 前排,● 前排,-,● 前排,-,● 前排,● 前排,-,● 前排,● 前排
车内充电,手机无线充电功率,-,● 15W,● 15W,-,-,-,● 15W,-,-,-,● 15W,● 15W,-,-,-,● 15W,● 15W,-,-,-,-,-,-,-,-,-,-,-
车内充电,行李厢12V电源接口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,座椅材质,● 仿皮,真皮 仿皮,● 真皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,真皮 仿皮,● 真皮,● 仿皮,● 仿皮,● 仿皮,真皮 仿皮,● 真皮,● 仿皮,真皮 仿皮,● 真皮,● 仿皮,● 仿皮,● 仿皮,真皮 仿皮,● 真皮,● 仿皮,真皮 仿皮,● 真皮
座椅配置,主座椅调节方式,● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向),● 前后调节 靠背调节 高低调节(2向)
座椅配置,副座椅调节方式,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节,● 前后调节 靠背调节
座椅配置,主/副驾驶座电动调节,● 主 / 副-,主 / 副,● 主 / 副,-,● 主 / 副-,● 主 / 副-,● 主 / 副-,● 主 / 副-,● 主 / 副-,● 主 / 副-,主 / 副,● 主 / 副,● 主 / 副-,● 主 / 副-,● 主 / 副-,主 / 副,● 主 / 副,● 主 / 副-,主 / 副,● 主 / 副,-,● 主 / 副-,● 主 / 副-,主 / 副,● 主 / 副,● 主 / 副-,主 / 副,● 主 / 副
座椅配置,前排座椅功能,-,○ 加热 通风,● 加热 通风,-,-,-,-,-,-,-,○ 加热 通风,● 加热 通风,-,-,-,○ 加热 通风,● 加热 通风,-,○ 加热 通风,● 加热 通风,-,-,-,○ 加热 通风,● 加热 通风,-,○ 加热 通风,● 加热 通风
座椅配置,电动座椅记忆功能,-,○ 驾驶位,● 驾驶位,-,-,-,-,-,-,-,○ 驾驶位,● 驾驶位,-,-,-,○ 驾驶位,● 驾驶位,-,○ 驾驶位,● 驾驶位,-,-,-,○ 驾驶位,● 驾驶位,-,○ 驾驶位,● 驾驶位
座椅配置,副驾驶位后排可调节按钮,-,○,●,-,-,-,-,-,-,-,○,●,-,-,-,○,●,-,○,●,-,-,-,○,●,-,○,●
座椅配置,第二排座椅调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节,● 靠背调节
座椅配置,第二排座椅功能,-,○ 加热,● 加热,-,-,-,-,-,-,-,○ 加热,● 加热,-,-,-,○ 加热,● 加热,-,○ 加热,● 加热,-,-,-,○ 加热,● 加热,-,○ 加热,● 加热
座椅配置,后排座椅放倒形式,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒,● 比例放倒
座椅配置,前/后中央扶手,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后,● 前 / 后
座椅配置,后排杯架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,● Harman/Kardon哈曼卡顿,-,-,-,-,-,-,-,-,● Harman/Kardon哈曼卡顿,-,-,-,-,● Harman/Kardon哈曼卡顿,-,-,● Harman/Kardon哈曼卡顿,-,-,-,-,● Harman/Kardon哈曼卡顿,-,-,● Harman/Kardon哈曼卡顿
音响/车内灯光,扬声器数量,● 6喇叭,● 6喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 6喇叭,● 8喇叭,● 6喇叭,● 6喇叭,● 8喇叭
音响/车内灯光,车内环境氛围灯,-,-,● 多色,-,-,-,-,-,-,-,-,● 多色,-,-,-,-,● 多色,-,-,● 多色,-,-,-,-,● 多色,-,-,● 多色
空调/冰箱,空调温度控制方式,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,外观颜色,珍珠白 极光黑 星际灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 丛林绿 星钻蓝 黑色/珍珠白 ￥3000 黑色/星际灰 ￥3000 黑色/星钻蓝 ￥3000 黑色/丛林绿 ￥3000,珍珠白 极光黑 星际灰 丛林绿 星钻蓝 黑色/珍珠白 ￥3000 黑色/星际灰 ￥3000 黑色/星钻蓝 ￥3000 黑色/丛林绿 ￥3000,珍珠白 极光黑 星际灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 丛林绿 星钻蓝 黑色/珍珠白 ￥3000 黑色/星际灰 ￥3000 黑色/星钻蓝 ￥3000 黑色/丛林绿 ￥3000,珍珠白 极光黑 星际灰 丛林绿 星钻蓝 黑色/珍珠白 ￥3000 黑色/星际灰 ￥3000 黑色/星钻蓝 ￥3000 黑色/丛林绿 ￥3000,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 ￥3000 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 丛林绿 星钻蓝 黑色/珍珠白 黑色/星际灰 黑色/星钻蓝 黑色/丛林绿,珍珠白 极光黑 星际灰 丛林绿 星钻蓝 黑色/珍珠白 黑色/星际灰 黑色/星钻蓝 黑色/丛林绿,珍珠白 极光黑 星际灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 丛林绿 星钻蓝 黑色/珍珠白 黑色/星际灰 黑色/星钻蓝 黑色/丛林绿,珍珠白 极光黑 星际灰 哑光灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 丛林绿 星钻蓝,珍珠白 极光黑 星际灰 哑光灰 丛林绿 星钻蓝
颜色,内饰颜色,蓝色/灰色,蓝色/灰色,蓝色/灰色,黑色/灰色,黑色/灰色,黑色/灰色,黑色/灰色,黑色,黑色,黑色 黑色/红色,黑色 黑色/红色,黑色 黑色/红色,黑色,黑色,黑色 黑色/红色,黑色 黑色/红色,黑色 黑色/红色,蓝色/灰色,蓝色/灰色,蓝色/灰色,黑色/灰色,黑色/灰色,黑色,黑色 黑色/红色,黑色 黑色/红色,黑色,黑色 黑色/红色,黑色 黑色/红色
选装包,时尚设计包,-,○ 包含：双色车身、18英寸铝合金暗灰轮圈 选配 (3000元),○ 包含：双色车身、18英寸铝合金暗灰轮圈 选配 (3000元),-,-,○ 包含：双色车身、18英寸铝合金暗灰轮圈 选配 (3000元),○ 包含：双色车身、18英寸铝合金暗灰轮圈 选配 (3000元),-,-,-,-,-,-,-,-,-,-,-,○ 包含：双色车身、18英寸铝合金暗灰轮圈 选配 (3000元),○ 包含：双色车身、18英寸铝合金暗灰轮圈 选配 (3000元),-,○ 包含：双色车身、18英寸铝合金暗灰轮圈 选配 (3000元),-,-,-,-,-,-
选装包,智能安全包,-,○ 包含：SVM360°全景影像、BVM侧后方影像、BCA盲区防撞辅助(限起步)、BCW盲区防撞预警、RCCA后方交叉防撞辅助、RCCW后方交叉防撞预警、ROA后排乘客遗忘提醒、SEW安全下车预警 选配 (5000元),-,-,-,-,○ 包含：SVM360°全景影像、BVM侧后方影像、BCA盲区防撞辅助(限起步)、BCW盲区防撞预警、RCCA后方交叉防撞辅助、RCCW后方交叉防撞预警、ROA后排乘客遗忘提醒、SEW安全下车预警 选配 (5000元),-,-,-,○ 包含：SVM360°全景影像、BVM侧后方影像、BCA盲区防撞辅助(限起步)、BCW盲区防撞预警、RCCA后方交叉防撞辅助、RCCW后方交叉防撞预警、ROA后排乘客遗忘提醒、SEW安全下车预警 选配 (5000元),-,-,-,-,○ 包含：SVM360°全景影像、BVM侧后方影像、BCA盲区防撞辅助(限起步)、BCW盲区防撞预警、RCCA后方交叉防撞辅助、RCCW后方交叉防撞预警、ROA后排乘客遗忘提醒、SEW安全下车预警 选配 (5000元),-,-,○ 包含：SVM360°全景影像、BVM侧后方影像、BCA盲区防撞辅助(限起步)、BCW盲区防撞预警、RCCA后方交叉防撞辅助、RCCW后方交叉防撞预警、ROA后排乘客遗忘提醒、SEW安全下车预警 选配 (5000元),-,-,○ 包含：SVM360°全景影像、BVM侧后方影像、BCA盲区防撞辅助(限起步)、BCW盲区防撞预警、RCCA后方交叉防撞辅助、RCCW后方交叉防撞预警、ROA后排乘客遗忘提醒、SEW安全下车预警 选配 (5000元),-,○ 包含：SVM360°全景影像、BVM侧后方影像、BCA盲区防撞辅助(限起步)、BCW盲区防撞预警、RCCA后方交叉防撞辅助、RCCW后方交叉防撞预警、ROA后排乘客遗忘提醒、SEW安全下车预警 选配 (5000元),-,-,○ 包含：SVM360°全景影像、BVM侧后方影像、BCA盲区防撞辅助(限起步)、BCW盲区防撞预警、RCCA后方交叉防撞辅助、RCCW后方交叉防撞预警、ROA后排乘客遗忘提醒、SEW安全下车预警 选配 (5000元),-
选装包,舒适座椅包,-,○ 包含：绗缝工艺真皮座椅、副驾驶席电动座椅(6向)、前后排座椅加热、前排通风座椅、驾驶席座椅记忆、副驾驶席座椅后排电动可调(老板键) 选配 (10000元),-,-,-,-,-,-,-,-,○ 包含：绗缝工艺真皮座椅、副驾驶席电动座椅(6向)、前后排座椅加热、前排通风座椅、驾驶席座椅记忆、副驾驶席座椅后排电动可调(老板键) 选配 (10000元),-,-,-,-,○ 包含：绗缝工艺真皮座椅、副驾驶席电动座椅(6向)、前后排座椅加热、前排通风座椅、驾驶席座椅记忆、副驾驶席座椅后排电动可调(老板键) 选配 (10000元),-,-,○ 包含：绗缝工艺真皮座椅、副驾驶席电动座椅(6向)、前后排座椅加热、前排通风座椅、驾驶席座椅记忆、副驾驶席座椅后排电动可调(老板键) 选配 (10000元),-,-,-,-,○ 包含：绗缝工艺真皮座椅、副驾驶席电动座椅(6向)、前后排座椅加热、前排通风座椅、驾驶席座椅记忆、副驾驶席座椅后排电动可调(老板键) 选配 (10000元),-,-,○ 包含：绗缝工艺真皮座椅、副驾驶席电动座椅(6向)、前后排座椅加热、前排通风座椅、驾驶席座椅记忆、副驾驶席座椅后排电动可调(老板键) 选配 (10000元),-
