セクション,セクション_ja,項目,項目_ja,2019年モデル 1.6L MT 快適版 国V,2019年モデル 1.6L AT ファッショナブル版 国V,2019年モデル 1.6L MT スマートサンルーフ版 国V,2019年モデル 1.6L AT スマートコネクト版 国V,2019年モデル 1.6L MT 快適版 国VI,2019年モデル 1.6L AT ファッショナブル版 国VI,2019年モデル 1.6L MT スマートサンルーフ版 国VI,2019年モデル 1.6L AT スマートコネクト版 国VI,2018年モデル 1.6L MT 快適版 Smart,2018年モデル 1.6L MT スマートサンルーフ版 Value,2018年モデル 1.6L AT Smart,2018年モデル 1.6L AT スマートコネクト版 Value Connect,2018年モデル 1.6L AT スマートラグジュアリー版 Value Comfort,2016年モデル 1.6L MT GL,2016年モデル 1.6L AT GL,2016年モデル 1.6L MT GLS,2016年モデル 1.6L AT GLS,2014年モデル 1.6L MT GL,2014年モデル 1.6L AT GL,2014年モデル 1.6L MT GLS,2014年モデル 1.6L AT GLS,2014年モデル 1.6L AT プレミアム,2014年モデル 1.6L MT プレミアムスペシャル,2014年モデル 1.6L AT プレミアムスペシャル,2012年モデル 1.6L MT GL 記念版,2012年モデル 1.6L AT GL 記念版,2012年モデル 1.6L MT GLS 記念版,2012年モデル 1.6L AT GLS 記念版,2012年モデル 1.6L AT プレミアム 記念版,2011年モデル 1.6L MT GL,2011年モデル 1.6L AT GL,2011年モデル 1.6L MT GLS,2011年モデル 1.6L AT GLS,2011年モデル 1.6L AT プレミアム,2011年モデル 2.0L AT TOP,2009年モデル 1.6L MT GL,2009年モデル 1.6L AT GL,2009年モデル 1.6L MT GLS,2009年モデル 1.6L AT GLS,2009年モデル 1.6L AT プレミアム,2009年モデル 2.0L AT TOP
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,-,○,-,○,○,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,-,●,●,●,●,●,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,-,前- / 後●,前- / 後●,前- / 後●,-,前- / 後●,前- / 後●,前- / 後●,-,前- / 後●,-,前- / 後●,前- / 後●,-,-,前- / 後●,前- / 後●,-,-,前- / 後●,前- / 後●,前- / 後●,前- / 後●,前- / 後●,-,-,前- / 後●,前- / 後●,前- / 後●,-,-,前- / 後●,前- / 後●,前- / 後●,前- / 後●,-,-,前- / 後●,前- / 後●,前- / 後●,前- / 後●
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,-,○ バックカメラ,● バックカメラ,● バックカメラ,-,○ バックカメラ,● バックカメラ,● バックカメラ,-,● バックカメラ,-,● バックカメラ,● バックカメラ,-,-,-,-,-,-,-,-,-,● バックカメラ,● バックカメラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,巡航系统,クルーズコントロール,-,-,-,● クルーズコントロール,-,-,-,● クルーズコントロール,-,-,-,-,● クルーズコントロール,-,-,-,-,-,-,-,-,-,-,● クルーズコントロール,-,-,-,-,-,-,-,-,-,-,● クルーズコントロール,-,-,-,-,-,● クルーズコントロール
驾驶功能,運転機能,卫星导航系统,カーナビゲーションシステム,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,导航路况信息显示,ナビ交通情報表示,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,地图品牌,地図ブランド,-,-,-,-,-,-,-,● バイドゥ（ナビ等）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,辅助泊车入位,駐車支援システム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● 鋼（スチール）,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● 鋼（スチール）,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,○,●,-,-,○,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,●,-,-,-,-,●,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー,● リモコンキー
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,-,-,○,●,-,-,○,●,-,○,-,●,●,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,●,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー,-,-,○ 前席,● 前席,-,-,○ 前席,● 前席,-,○ 前席,-,● 前席,● 前席,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,●,-,-,-,-,●,●,-,-,-,-,●,●
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,近光灯光源,ロービーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,远光灯光源,ハイビーム光源,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,● ハロゲン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,-,-,●,●,-,-,●,●,-,●,-,●,●,-,-,●,●,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,自动头灯,オートヘッドライト,-,○,●,●,-,○,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,●,●,-,-,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,● ハロゲン,● ハロゲン,-,-,● ハロゲン,● ハロゲン,-,● ハロゲン,-,● ハロゲン,● ハロゲン,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯機能,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,-,○ 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,○ 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,● 電動サンルーフ,-,○ 電動サンルーフ,● 電動サンルーフ,○ 電動サンルーフ,○ 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,-,-,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ,● 電動サンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●,前● / 後●
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ機能,-,-,-,● 運転席,-,-,-,● 運転席,-,-,-,-,● 運転席,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止機能,-,-,-,●,-,-,-,●,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,室内化粧鏡,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,● 助手席,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,雨感知ワイパー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整,"● 電動調整
● 電動格納","● 電動調整
● 電動格納",● 電動調整,● 電動調整,"● 電動調整
● 電動格納","● 電動調整
● 電動格納",● 電動調整,"● 電動調整
● 電動格納","● 電動調整
● 電動格納","● 電動調整
● 電動格納","● 電動調整
● 電動格納
● ミラー加熱",● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納","● 電動調整
● 電動格納",● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納",● 電動調整,● 電動調整,● 電動調整,● 電動調整,● 電動調整,"● 電動調整
● 電動格納"
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,-,○ タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,○ タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,-,● タッチ液晶画面,-,● タッチ液晶画面,● タッチ液晶画面,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,-,○ 8インチ,● 8インチ,● 8インチ,-,○ 8インチ,● 8インチ,● 8インチ,-,● 8インチ,-,● 8インチ,● 8インチ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,"○ CarPlay対応
○ CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応",-,"○ CarPlay対応
○ CarLife対応","● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応",-,"● CarPlay対応
● CarLife対応",-,"● CarPlay対応
● CarLife対応","● CarPlay対応
● CarLife対応",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,-,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",-,-,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",-,-,-,"● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン","● マルチメディアシステム
● ナビゲーション
● 電話
● エアコン",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,-,-,-,-,-,-,● UVO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载CD/DVD,車載CD/DVDプレーヤー,-,-,-,-,-,-,-,-,-,-,-,-,-,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD,● シングルCD
智能化配置,スマート機能装備,车联网,車載インターネット接続,-,-,-,●,-,-,-,●,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク対応,-,-,-,-,-,-,-,● 4G,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,OTA升级,OTAアップデート,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,-,-,-,-,-,-,-,"● ドアコントロール
● エンジン始動
● ライトコントロール
● エアコンコントロール
● 車両状態確認/診断
● 車両位置特定/車両探索",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,● プラスチック,● レザー調,● レザー調,● プラスチック,● プラスチック,● レザー調,● レザー調,● プラスチック,● レザー調,● プラスチック,● レザー調,● レザー調,-,-,-,● レザー調,-,-,-,● レザー調,● レザー調,● レザー調,● レザー調,-,-,● レザー調,● レザー調,● レザー調,-,-,● レザー調,● レザー調,● レザー調,● レザー調,-,-,● レザー調,● レザー調,● レザー調,● レザー調
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下＋前後調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整,● 手動上下調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,-,-,-,-,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,● 単色,-,-,●,●,-,-,●,●,●,●,●,-,-,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 自動防眩,● 自動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩,● 手動防眩
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,"● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,● 前席1個,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● ファブリック,● ファブリック,● 合成皮革,● ファブリック,● ファブリック,● ファブリック,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● ファブリック,● ファブリック,● 本革,● 本革,● 本革,● ファブリック,● ファブリック,● 本革,● 本革,● 本革,● 本革,● ファブリック,● ファブリック,● 本革,● 本革,● 本革,● 本革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）"
