セクション,項目,福瑞迪 2019款 1.6L 手动舒适版 国V,福瑞迪 2019款 1.6L 自动风尚版 国V,福瑞迪 2019款 1.6L 手动智享天窗版 国V,福瑞迪 2019款 1.6L 自动智享互联版 国V,福瑞迪 2019款 1.6L 手动舒适版 国VI,福瑞迪 2019款 1.6L 自动风尚版 国VI,福瑞迪 2019款 1.6L 手动智享天窗版 国VI,福瑞迪 2019款 1.6L 自动智享互联版 国VI,福瑞迪 2018款 1.6L 手动舒适版Smart,福瑞迪 2018款 1.6L 手动智享天窗版Value,福瑞迪 2018款 1.6L 自动Smart,福瑞迪 2018款 1.6L 自动智享互联版Value-Connect,福瑞迪 2018款 1.6L 自动智享豪华版Value-Comfort,福瑞迪 2016款 1.6L MT GL,福瑞迪 2016款 1.6L AT GL,福瑞迪 2016款 1.6L MT GLS,福瑞迪 2016款 1.6L AT GLS,福瑞迪 2014款 1.6L MT GL,福瑞迪 2014款 1.6L AT GL,福瑞迪 2014款 1.6L MT GLS,福瑞迪 2014款 1.6L AT GLS,福瑞迪 2014款 1.6L AT Premium,福瑞迪 2014款 1.6L MT Premium Special,福瑞迪 2014款 1.6L AT Premium Special,福瑞迪 2012款 1.6L MT GL 纪念版,福瑞迪 2012款 1.6L AT GL 纪念版,福瑞迪 2012款 1.6L MT GLS 纪念版,福瑞迪 2012款 1.6L AT GLS 纪念版,福瑞迪 2012款 1.6L AT Premium 纪念版,福瑞迪 2011款 1.6L MT GL,福瑞迪 2011款 1.6L AT GL,福瑞迪 2011款 1.6L MT GLS,福瑞迪 2011款 1.6L AT GLS,福瑞迪 2011款 1.6L AT Premium,福瑞迪 2011款 2.0L AT TOP,福瑞迪 2009款 1.6L MT GL,福瑞迪 2009款 1.6L AT GL,福瑞迪 2009款 1.6L MT GLS,福瑞迪 2009款 1.6L AT GLS,福瑞迪 2009款 1.6L AT Premium,福瑞迪 2009款 2.0L AT TOP
智能化配置,OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,手机APP远程功能,-,-,-,-,-,-,-,"● 车门控制
● 车辆启动
● 车灯控制
● 空调控制
● 车况查询/诊断
● 车辆定位/寻车",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘材质,● 塑料,● 塑料,● 皮质,● 皮质,● 塑料,● 塑料,● 皮质,● 皮质,● 塑料,● 皮质,● 塑料,● 皮质,● 皮质,-,-,-,● 皮质,-,-,-,● 皮质,● 皮质,● 皮质,● 皮质,-,-,● 皮质,● 皮质,● 皮质,-,-,● 皮质,● 皮质,● 皮质,● 皮质,-,-,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下+前后调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节,● 手动上下调节
方向盘/内后视镜,换挡形式,-,-,-,-,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,-,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘换挡拨片,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,● 单色,-,-,●,●,-,-,●,●,●,●,●,-,-,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●
方向盘/内后视镜,全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目,● 手动防眩目
车内充电,多媒体/充电接口,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,"● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX","● USB
● AUX",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,USB/Type-C接口数量,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,● 前排1个,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内充电,手机无线充电功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,座椅材质,● 织物,● 织物,● 仿皮,● 仿皮,● 织物,● 织物,● 仿皮,● 仿皮,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 织物,● 织物,● 仿皮,● 织物,● 织物,● 织物,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 织物,● 织物,● 真皮,● 真皮,● 真皮,● 织物,● 织物,● 真皮,● 真皮,● 真皮,● 真皮,● 织物,● 织物,● 真皮,● 真皮,● 真皮,● 真皮
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(2向)"
座椅配置,副座椅调节方式,"● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节","● 前后调节
● 靠背调节"
座椅配置,主/副驾驶座电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前排座椅功能,-,-,-,○ 加热,-,-,-,○ 加热,-,-,-,-,○ 加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,前/后中央扶手,前 ● / 后-,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后-,前 ● / 后 ●,前 ● / 后-,前 ● / 后 ●,前 ● / 后 ●,-,-,前 ● / 后 ●,前 ● / 后 ●,-,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,-,-,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●,前 ● / 后 ●
座椅配置,后排杯架,-,-,●,●,-,-,●,●,-,●,-,●,●,-,-,●,●,-,-,●,●,●,●,●,-,-,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
音响/车内灯光,扬声器数量,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 4喇叭,● 4喇叭,● 4喇叭,● 6喇叭,● 6喇叭,● 4-5喇叭,● 4-5喇叭,● 6-7喇叭,● 6-7喇叭,● 4-5喇叭,● 4-5喇叭,● 6-7喇叭,● 6-7喇叭,● 6-7喇叭,● 6-7喇叭,● 6-7喇叭,● 4-5喇叭,● 4-5喇叭,● 6-7喇叭,● 6-7喇叭,● 6-7喇叭,● 4-5喇叭,● 4-5喇叭,● 6-7喇叭,● 6-7喇叭,● 6-7喇叭,● 6-7喇叭,● 4-5喇叭,● 4-5喇叭,● 6-7喇叭,● 6-7喇叭,● 6-7喇叭,● 6-7喇叭
音响/车内灯光,车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,空调温度控制方式,● 手动空调,● 手动空调,"● 手动空调
○ 自动空调",● 自动空调,● 手动空调,● 手动空调,"● 手动空调
○ 自动空调",● 自动空调,● 手动空调,"● 手动空调
○ 自动空调",● 手动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调,● 手动空调,● 手动空调,● 手动空调,● 手动空调,● 自动空调,● 自动空调
空调/冰箱,后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,后座出风口,-,-,●,●,-,-,●,●,-,●,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车载空气净化器,-,-,○,●,-,-,○,●,-,○,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,车内PM2.5过滤装置,-,-,○,●,-,-,○,●,-,○,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,智能选装包,-,-,-,-,-,-,○ 选配 (暂无价格),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
