セクション,セクション_ja,項目,項目_ja,2026年モデル 1.6L CVT省エネ版,2026年モデル 1.6L CVT真心版,2026年モデル 1.6L CVT悦楽版,2026年モデル 1.6L CVTブラックゴールド版,2026年モデル 1.6L CVTスマートドライブ版,2025年モデル 1.6L CVT真心版,2024年モデル 改良版3 经典 1.6XE CVT快適版,2024年モデル 改良版 经典 1.6XE+ CVT大画面版,2024年モデル 改良版2 经典 1.6XL CVT豪華版,2024年モデル 改良版2 经典 1.6XV CVT特別版,2023年モデル 超ハイブリッド 全電動駆動Pro,2023年モデル 超ハイブリッド 全電動駆動大画面版,2023年モデル 超ハイブリッド 超スマートコネクトPlus,2023年モデル 超ハイブリッド 超スマートドライブMax,2023年モデル 超ハイブリッド 超豪華Ultra,2023年モデル 1.6L CVT快適享受版,2023年モデル 改良版 1.6L CVT悦楽享受版,2023年モデル 1.6L CVTブラックゴールド版,2023年モデル 改良版 1.6L CVTスマートドライブ版,2021年モデル 经典 1.6XE CVT専用版,2026年モデル ベーシックタイプ
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）、ランバーサポート（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）、ランバーサポート（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）、ランバーサポート（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,● 前後スライド調整、リクライニング、高さ調整（2方向）,-
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,● 前後スライド調整、リクライニング,-
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,-,-,-,-,-,-,-,-,-,-,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,-,-,-,-,-,-
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,○ 運転席のみヒーター・ベンチレーション,● 運転席のみヒーター・ベンチレーション,○ 運転席のみヒーター・ベンチレーション,-,-,-,-,-,-,-,-,-,-,-,-,● 運転席のみヒーター・ベンチレーション,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,-
座椅配置,シート装備,后排杯架,後席カップホルダー,-,-,●,●,●,-,-,-,-,-,-,-,●,●,●,-,●,●,●,-,-
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,-,-,-,-,-,-,-,-,-,● BOSE（ボーズ）,-,-,-,-,-,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 8スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,● 4スピーカー,-
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,室内アンビエントライト,-,-,-,-,-,-,-,-,-,-,-,-,● モノクロ,● モノクロ,● モノクロ,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● マニュアルエアコン,-
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●,-
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,-,-,●,●,●,-,-,-,-,-,●,●,●,●,●,-,●,●,●,-,-
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-
颜色,カラー,外观颜色,外装色,タングステングレー、オブシディアンブラック、パールホワイト,タングステングレー、オブシディアンブラック、パールホワイト,タングステングレー、オブシディアンブラック、パールホワイト,オブシディアンブラック,タングステングレー、オブシディアンブラック、パールホワイト,タングステングレー、オブシディアンブラック、パールホワイト,タングステングレー、パールホワイト、オブシディアンブラック,タングステングレー、パールホワイト、オブシディアンブラック,タングステングレー、パールホワイト、オブシディアンブラック,タングステングレー、パールホワイト、オブシディアンブラック,オブシディアンブラック、パールホワイト,タングステングレー、オブシディアンブラック、スカイレッド、パールホワイト、アイスロックブルー／オブシディアンブラック,タングステングレー、オブシディアンブラック、スカイレッド、オブシディアンブラック／スカイレッド、パールホワイト、アイスロックブルー／オブシディアンブラック,タングステングレー、オブシディアンブラック、スカイレッド、オブシディアンブラック／スカイレッド、パールホワイト、アイスロックブルー／オブシディアンブラック,オブシディアンブラック、パールホワイト、アイスロックブルー／オブシディアンブラック,オブシディアンブラック、パールホワイト,タングステングレー、オブシディアンブラック、スカイレッド、パールホワイト,オブシディアンブラック,タングステングレー、オブシディアンブラック、スカイレッド、パールホワイト,タングステングレー、チタンゴールド、パールホワイト、オブシディアンブラック,-
颜色,カラー,内饰颜色,内装色,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック、ブルー／ブラック,ブラック、ブルー／ブラック,ブルー／ブラック,ブラック,ブラック,ブラック,ブラック、ブラック／ブラウン,ブラック,-
