セクション,セクション_ja,項目,項目_ja,2025年モデル 2.0L e HEV 鋭・先鋒版,2025年モデル 2.0L e HEV 鋭・テクノロジー版,2025年モデル ハッチバック 2.0L e HEV 鋭・快適型クールパッケージ,2025年モデル 240TURBO MT スピード版,2025年モデル 240TURBO CVT テクノロジー版,2025年モデル ハッチバック 240TURBO MT スピード版,2025年モデル ハッチバック 240TURBO MT チャンピオン版,2024年モデル 240TURBO CVT 無限MUGEN版,2023年モデル 2.0L e HEV 鋭・テクノロジー版,2023年モデル 2.0L e HEV 鋭・豪華版,2023年モデル 2.0L e HEV 鋭・尊享版,2023年モデル ハッチバック 2.0L e HEV 鋭・リーダー版,2023年モデル ハッチバック 2.0L e HEV 鋭・豪華版,2023年モデル ハッチバック 240TURBO MT 専用版,2023年モデル ハッチバック 240TURBO CVT リーダー版,2023年モデル ハッチバック 240TURBO CVT 幻夜・豪華版,2023年モデル ハッチバック 240TURBO CVT 幻夜・尊享版,2023年モデル 240TURBO MT 専用版,2023年モデル 240TURBO CVT リーディング版,2023年モデル 240TURBO CVT テクノロジー版,2023年モデル 240TURBO CVT 幻夜・テクノロジー版,2023年モデル 240TURBO CVT スマート享受版,2023年モデル 240TURBO CVT 豪華版,2023年モデル 240TURBO CVT 幻夜・豪華版,2023年モデル 240TURBO CVT 尊享版
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,オートワイパー機能,●,●,●,●,●,●,●,-,-,-,● 雨量感応式,-,-,-,-,-,-,-,-,-,-,-,-,-,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納,● 電動調整 電動格納 ミラー加熱 施錠時自動格納
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ,● 9インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth／車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarPlay対応 CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応,● CarLife対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,-,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,● マルチメディアシステム ナビ 電話 エアコン 窓,-,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン,● マルチメディアシステム ナビ 電話 エアコン
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,-,● Honda Connect,● Honda Connect,● Honda Connect,-,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect,● Honda Connect
智能化配置,スマート機能装備,车联网,コネクテッドカー,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●
智能化配置,スマート機能装備,4G/5G网络,4G/5Gネットワーク,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,-,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G,● 4G
智能化配置,スマート機能装備,OTA升级,OTAアップデート,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●
智能化配置,スマート機能装備,Wi-Fi热点,Wi-Fiホットスポット,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/呼出,-,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 エアコン操作 車両状態確認/診断 車両位置特定/呼出,-,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出,● ドア操作 窓操作 エンジン始動 ライト操作 エアコン操作 車両状態確認/診断 車両位置特定/呼出
智能化配置,スマート機能装備,主动降噪,アクティブノイズキャンセリング,-,●,●,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-
智能化配置,スマート機能装備,车载KTV,車載カラオケ,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● プラスチック,プラスチック 本革,● 本革,● プラスチック,プラスチック 本革,● プラスチック,● 本革,● 本革,● プラスチック,● 本革,● 本革,● プラスチック,● 本革,● プラスチック,● プラスチック,● 本革,● 本革,● プラスチック,● プラスチック,● プラスチック,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整,● 手動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● ボタン式シフト,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー,● メカニカルシフトレバー
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘换挡拨片,ステアリングシフトパドル,-,-,-,-,-,-,-,-,-,-,-,●,●,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピューターディスプレイ,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,-,●,●,-,●,-,●,●,●,●,●,●,●,-,●,●,●,-,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 7インチ,● 10.2インチ,● 10.2インチ,● 7インチ,● 10.2インチ,● 7インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 7インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 7インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ,● 10.2インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電ポート,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB,● USB
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個,● 前席2個／後席2個,● 前席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,-,-,-,-,-,-,-,● 前席,● 前席,-,● 前席,-,-,-,● 前席,-,-,-,-,-,-,-,● 前席
座椅配置,シート装備,座椅材质,シート素材,● ファブリック,ファブリック 本革 皮革/ファブリックコンビ,● 本革,● ファブリック,ファブリック 本革 皮革/ファブリックコンビ,● ファブリック,● 本革,● 皮革/ファブリックコンビ,● ファブリック,● 本革 合成皮革,● 本革 合成皮革,● ファブリック,● 本革,● ファブリック,● ファブリック,● 本革,● 本革,● ファブリック,● ファブリック,● ファブリック,● 皮革/ファブリックコンビ,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革,● 本革 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,● 前後スライド リクライニング 高さ調整（2方向）,前後スライド リクライニング 高さ調整（2方向） 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（2方向）,前後スライド リクライニング 高さ調整（2方向） 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（2方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（4方向）,● 前後スライド リクライニング 高さ調整（4方向）
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング,● 前後スライド リクライニング
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,○ 運転席 / 助手席,● 運転席／助手席,-,○ 運転席 / 助手席,-,● 運転席／助手席,-,-,● 運転席／助手席,● 運転席／助手席,-,● 運転席／助手席,-,-,● 運転席／助手席,● 運転席／助手席,-,-,-,-,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席,● 運転席／助手席
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,-,-,-,-,-,-,-,-,● シートヒーター,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方,-,○ 分割可倒式,● 分割可倒式,-,○ 分割可倒式,● 分割可倒式,● 分割可倒式,-,-,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,-,-,-,-,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,● 前席／後席,前席 / 後席,● 前席／後席,● 前席／後席,前席 / 後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席,● 前席／後席
座椅配置,シート装備,后排杯架,後席カップホルダー,-,○,●,-,○,●,●,-,-,●,●,●,●,●,●,●,●,-,-,-,-,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,○ BOSE,● BOSE,-,○ BOSE,-,● BOSE,-,-,-,● BOSE,-,-,-,-,-,● BOSE,-,-,-,-,-,-,-,● BOSE
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 2スピーカー,8スピーカー 12スピーカー,● 12スピーカー,● 2スピーカー,8スピーカー 12スピーカー,● 2スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー,● 2スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 2スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,○ 単色,● 単色,-,○ 単色,-,● 単色,-,-,● 単色,● 単色,-,● 単色,-,-,● 単色,● 単色,-,-,-,-,● 単色,● 単色,● 単色,● 単色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,-,●,●,-,●,-,●,●,●,●,●,-,●,-,-,●,●,-,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
颜色,カラー,外观颜色,外装色,スターリーホワイト ￥2000 ブライトブラック スピードブルー ファーザンラン ￥2000,スターリーホワイト ￥2000 ブライトブラック スピードブルー ファーザンラン ￥2000,スターリーホワイト ￥2000 ヒートイエロー ブライトブラック スピードブルー ファーザンラン ￥2000 ブライトブラック/スピードブルー ￥3000 ブライトブラック/スターリーホワイト ￥5000 ブライトブラック/ファーザンラン ￥5000,スターリーホワイト ￥2000 ブライトブラック スピードブルー,スターリーホワイト ￥2000 ブライトブラック スピードブルー,スターリーホワイト ￥2000 ヒートイエロー ブライトブラック スピードブルー ブライトブラック/スピードブルー ￥3000 ブライトブラック/スターリーホワイト ￥5000,スターリーホワイト ￥2000 ヒートイエロー ブライトブラック スピードブルー ブライトブラック/スピードブルー ￥3000 ブライトブラック/スターリーホワイト ￥5000,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ブルーグリーン ヒートイエロー,ローズブラック スターリーホワイト ￥2000 グリーンランドホワイト ￥2000 ヒートイエロー スカイブルー,ローズブラック スターリーホワイト ￥2000 グリーンランドホワイト ￥2000 ヒートイエロー スカイブルー,ローズブラック スターリーホワイト ￥2000 グリーンランドホワイト ￥2000 ヒートイエロー スカイブルー,ローズブラック スターリーホワイト ￥2000 グリーンランドホワイト ￥2000 ブラック/グリーンランドホワイト ￥3000 ブルーグリーン ￥2000 ヒートイエロー スカイブルー ブラック/ブルーグリーン ￥3000 ブラック/ヒートイエロー ￥3000 ブラック/スカイブルー ￥3000 ブラック/スターリーホワイト ￥3000,ローズブラック スターリーホワイト ￥2000 グリーンランドホワイト ￥2000 ブラック/グリーンランドホワイト ￥3000 ブルーグリーン ￥2000 ヒートイエロー スカイブルー ブラック/ブルーグリーン ￥3000 ブラック/ヒートイエロー ￥3000 ブラック/スカイブルー ￥3000 ブラック/スターリーホワイト ￥3000,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ブラック/グリーンランドホワイト ￥3000 ブルーグリーン ￥2000 ヒートイエロー ブラック/ブルーグリーン ￥3000 ブラック/ヒートイエロー ￥3000 ブラック/スターリーレッド ￥3000 ブラック/スターリーホワイト ￥3000,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ブラック/グリーンランドホワイト ￥3000 ブルーグリーン ヒートイエロー ブラック/ブルーグリーン ￥3000 ブラック/ヒートイエロー ￥3000 ブラック/スターリーレッド ￥3000 ブラック/スターリーホワイト ￥3000,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ブラック/グリーンランドホワイト ￥3000 ブルーグリーン ￥2000 ヒートイエロー ブラック/ブルーグリーン ￥3000 ブラック/ヒートイエロー ￥3000 ブラック/スターリーレッド ￥3000 ブラック/スターリーホワイト ￥3000,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥3000 ブラック/グリーンランドホワイト ￥3000 ブルーグリーン ￥3000 ヒートイエロー ブラック/ブルーグリーン ￥3000 ブラック/ヒートイエロー ￥3000 ブラック/スターリーレッド ￥3000 ブラック/スターリーホワイト ￥3000,ローズブラック スターリーホワイト ￥2000 ヒートイエロー,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ヒートイエロー,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ヒートイエロー,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ブルーグリーン ￥2000 ヒートイエロー,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ヒートイエロー,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ヒートイエロー,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ブルーグリーン ￥2000 ヒートイエロー,ローズブラック スターリーホワイト ￥2000 スターリーレッド グリーンランドホワイト ￥2000 ヒートイエロー
颜色,カラー,内饰颜色,内装色,ブラック,ブラック ブラック/ホワイト,ブラック,ブラック,ブラック ブラック/ホワイト,ブラック,ブラック,ブラック ブラック/レッド,ブラック,ブラック,ブラック/レッド,ブラック ブラック/レッド,ブラック ブラック/レッド,ブラック ブラック/レッド,ブラック ブラック/レッド,ブラック ブラック/レッド,ブラック ブラック/レッド,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック,ブラック/レッド
选装包,オプションパッケージ,ACP时尚套件,ACPファッショナルキット,-,○ 含む：ACPタイプクールフロントグリル、ACPタイプクールリアバンパーアンダーパーツ、ACPタイプクールエアアウトレット、ACPファッショナブルシートロゴ（イエローステッチ） オプション（2000元）,○ 含む：ACPタイプクールフロントグリル、ACPタイプクールリアバンパーアンダーパーツ、ACPタイプクールエアアウトレット、ACPファッショナブルシートロゴ（イエローステッチ） オプション（2000元）,-,○ 含む：ACPタイプクールフロントグリル、ACPタイプクールリアバンパーアンダーパーツ、ACPタイプクールエアアウトレット、ACPファッショナブルシートロゴ（イエローステッチ） オプション（2000元）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,型酷套装,スタイルクールパッケージ,-,○ 含む：18インチ切削ホイール、パノラマサンルーフ、本革ステアリング、ファブリック/レザーコンビシート、室内アンビエントライト、スモークスポーツパーツ オプション（8000元）,-,-,○ 含む：18インチ切削ホイール、パノラマサンルーフ、本革ステアリング、本革シフトノブ、ファブリック/レザーコンビシート、室内アンビエントライト、スモークスポーツパーツ オプション（8000元）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
