セクション,セクション_ja,項目,項目_ja,2026年モデル エクセレント 280TSI ビジネス版,2026年モデル Pro 300TSI ドラゴン耀版,2026年モデル Pro 300TSI 星空ドラゴン耀版,2026年モデル エクセレント 330TSI エリート版,2026年モデル エクセレント 330TSI 星空エリート版,2026年モデル エクセレント 380TSI ドラゴン騰版,2026年モデル エクセレント 380TSI 星空ドラゴン騰版,2026年モデル エクセレント 380TSI ドラゴン耀版,2026年モデル エクセレント 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン耀版,2026年モデル Pro 380TSI 星空ドラゴン耀版,2026年モデル Pro 380TSI ドラゴン運版,2026年モデル Pro 380TSI 星空ドラゴン運版,2026年モデル Pro 380TSI ドラゴン尊版,2026年モデル Pro 380TSI 星空ドラゴン尊版,2026年モデル Pro 380TSI 行政版,2025年モデル エクセレント 280TSI ビジネス版,2025年モデル Pro 300TSI ドラゴン耀版,2025年モデル Pro 300TSI 星空ドラゴン耀版,2025年モデル エクセレント 330TSI エリート版,2025年モデル エクセレント 330TSI 星空エリート版,2025年モデル エクセレント 380TSI ドラゴン騰版,2025年モデル エクセレント 380TSI 星空ドラゴン騰版,2025年モデル エクセレント 380TSI ドラゴン耀版,2025年モデル エクセレント 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン耀版,2025年モデル Pro 380TSI 星空ドラゴン耀版,2025年モデル Pro 380TSI ドラゴン運版,2025年モデル Pro 380TSI 星空ドラゴン運版,2025年モデル Pro 380TSI ドラゴン尊版,2025年モデル Pro 380TSI 星空ドラゴン尊版
驾驶功能,運転機能,AR实景导航,ARナビゲーション,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
驾驶功能,運転機能,并线辅助,ブラインドスポットアシスト,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道保持辅助系统,レーンキープアシスト,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,车道居中保持,レーンセンタリングアシスト,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,道路交通标识识别,交通標識認識,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
驾驶功能,運転機能,辅助泊车入位,駐車アシスト,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●,●,-,-,-,-,-,-,-,●,●,-,-,●,●,●,●
驾驶功能,運転機能,遥控泊车,リモートパーキング,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,记忆泊车,メモリーパーク機能,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●,●,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●
驾驶功能,運転機能,辅助变道,レーンチェンジアシスト,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●,●,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●
驾驶功能,運転機能,辅助匝道自动驶出(入),ランプ自動進出支援,-,-,-,-,-,-,-,-,-,-,-,○,○,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶功能,運転機能,方向盘离手检测,ハンドル離し検知,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
驾驶功能,運転機能,辅助驾驶路段,運転支援対応区間,-,-,-,-,-,-,-,-,-,-,-,○ 高速道路区間,○ 高速道路区間,● 高速道路区間,● 高速道路区間,● 高速道路区間,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外观/防盗,エクステリア・盗難防止,外观套件,エクステリアキット,-,-,-,-,-,-,-,-,-,-,-,-,-,-,○ スポーティスタイル,-,-,-,-,-,-,-,-,-,-,-,-,-,○ スポーティスタイル,-,○ スポーティスタイル
外观/防盗,エクステリア・盗難防止,轮圈材质,ホイール材質,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金,● アルミ合金
外观/防盗,エクステリア・盗難防止,电动后备厢,パワーテールゲート,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,○,○,●,●,●,●
外观/防盗,エクステリア・盗難防止,感应后备厢,ハンズフリーテールゲート,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,○,○,●,●,●,●
外观/防盗,エクステリア・盗難防止,发动机电子防盗,エンジン電子イモビライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,车内中控锁,集中ドアロック,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,钥匙类型,キー種類,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,リモコンキー Bluetoothキー,● リモコンキー,リモコンキー Bluetoothキー（1198元）,リモコンキー Bluetoothキー（1198元）,● リモコンキー,● リモコンキー,リモコンキー Bluetoothキー（1699元）,リモコンキー Bluetoothキー（1699元）,リモコンキー Bluetoothキー（1699元）,リモコンキー Bluetoothキー（1699元）,リモコンキー Bluetoothキー（1198元）,リモコンキー Bluetoothキー（1198元）,リモコンキー Bluetoothキー（1198元）,リモコンキー Bluetoothキー（1198元）,リモコンキー Bluetoothキー（1198元）,リモコンキー Bluetoothキー（1198元）
外观/防盗,エクステリア・盗難防止,无钥匙启动系统,キーレススタート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观/防盗,エクステリア・盗難防止,无钥匙进入功能,キーレスエントリー機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
外观/防盗,エクステリア・盗難防止,远程启动功能,リモートスタート機能,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,○,○,-,-,○,○,○,○,○,○,○,○,○,○
车外灯光,外部照明,近光灯光源,ロービーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,远光灯光源,ハイビーム光源,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED,● LED
车外灯光,外部照明,灯光特色功能,ライト特別機能,-,-,-,-,-,-,-,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,-,-,-,-,-,-,-,● マトリクス式,● マトリクス式,○ マトリクス式,○ マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式,● マトリクス式
车外灯光,外部照明,LED日间行车灯,LEDデイタイムランニングライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,自适应远近光,アダプティブハイビーム,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
车外灯光,外部照明,自动头灯,オートヘッドライト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,转向辅助灯,コーナリングランプ,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●,●,●,●,●,-,-,●,●,●,●
车外灯光,外部照明,转向头灯,コーナリングライト,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,●,●,○,○,●,●,●,●
车外灯光,外部照明,车前雾灯,フロントフォグランプ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车外灯光,外部照明,前大灯雨雾模式,ヘッドライト雨霧モード,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯高度可调,ヘッドライトレベライザー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车外灯光,外部照明,大灯延时关闭,ヘッドライト遅延消灯,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,天窗类型,サンルーフ種類,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 電動サンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ,● 開閉可能なパノラマサンルーフ
天窗/玻璃,サンルーフ・ガラス,前/后电动车窗,前/後パワーウィンドウ,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席,● 前席 / 後席
天窗/玻璃,サンルーフ・ガラス,车窗一键升降功能,パワーウインドウワンタッチ昇降,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席,● 全席
天窗/玻璃,サンルーフ・ガラス,车窗防夹手功能,パワーウインドウ挟み込み防止,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
天窗/玻璃,サンルーフ・ガラス,后排侧窗遮阳帘,後席サイドウインドウサンシェード,-,-,-,-,-,-,-,● 手動,● 手動,-,-,-,-,● 手動,● 手動,● 手動,-,-,-,-,-,-,-,● 手動,● 手動,-,-,-,-,● 手動,● 手動
天窗/玻璃,サンルーフ・ガラス,车内化妆镜,車内化粧鏡,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯,● 運転席＋照明灯 助手席＋照明灯
天窗/玻璃,サンルーフ・ガラス,后雨刷,リヤワイパー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
天窗/玻璃,サンルーフ・ガラス,感应雨刷功能,レインセンサー式ワイパー,-,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,-,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式,● 雨量感応式
外后视镜,外側ドアミラー,外后视镜功能,ドアミラー機能,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 ミラー加熱,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目,● 電動調整 電動格納 ミラーメモリー ミラー加熱 バック時自動下向き 鍵施錠時自動格納 自動防眩目
屏幕/系统,ディスプレイ・システム,中控彩色屏幕,センターカラーディスプレイ,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面,● タッチ液晶画面
屏幕/系统,ディスプレイ・システム,中控屏幕尺寸,センターディスプレイサイズ,● 8インチ,● 12.9インチ,● 12.9インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 9.2インチ,● 9.2インチ,● 12.9インチ,● 12.9インチ,● 15インチ,● 15インチ,● 15インチ,● 15インチ,● 15インチ,● 8インチ,● 12.9インチ,● 12.9インチ,● 8インチ,● 8インチ,● 8インチ,● 8インチ,● 9.2インチ,● 9.2インチ,● 12.9インチ,● 12.9インチ,● 15インチ,● 15インチ,● 15インチ,● 15インチ
屏幕/系统,ディスプレイ・システム,中控屏幕分辨率,センター液晶解像度,-,-,-,-,-,-,-,-,-,-,-,● 2K,● 2K,● 2K,● 2K,● 2K,-,-,-,-,-,-,-,-,-,-,-,● 2K,● 2K,● 2K,● 2K
屏幕/系统,ディスプレイ・システム,副驾娱乐屏尺寸,助手席エンタメ画面サイズ,-,-,-,-,-,-,-,-,-,-,-,● 11.6インチ,● 11.6インチ,● 11.6インチ,● 11.6インチ,● 11.6インチ,-,-,-,-,-,-,-,-,-,-,-,● 11.6インチ,● 11.6インチ,● 11.6インチ,● 11.6インチ
屏幕/系统,ディスプレイ・システム,蓝牙/车载电话,Bluetooth/車載電話,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手机互联/映射,スマホ連携/ミラーリング,-,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,-,-,-,-,-,-,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応,● CarPlay対応 CarLife対応 純正連携/ミラーリング対応 HUAWEI HiCar対応
屏幕/系统,ディスプレイ・システム,语音识别控制系统,音声認識操作,-,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター,-,-,-,-,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,● マルチメディアシステム ナビ 電話 エアコン サンルーフ ウィンドウ シートヒーター シートベンチレーション シートマッサージ,-,● マルチメディアシステム ナビ 電話 エアコン シートヒーター,● マルチメディアシステム ナビ 電話 エアコン シートヒーター,-,-,-,-,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話,● マルチメディアシステム ナビ 電話 エアコン シートヒーター,● マルチメディアシステム ナビ 電話 エアコン シートヒーター,● マルチメディアシステム ナビ 電話 エアコン シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン シートヒーター シートベンチレーション,● マルチメディアシステム ナビ 電話 エアコン シートヒーター シートベンチレーション
屏幕/系统,ディスプレイ・システム,语音助手唤醒词,音声アシスタント起動ワード,-,● こんにちは、大衆,● こんにちは、大衆,-,-,-,-,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,-,● こんにちは、大衆,● こんにちは、大衆,-,-,-,-,-,-,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆,● こんにちは、大衆
屏幕/系统,ディスプレイ・システム,语音免唤醒词,ノーウェイクワード音声認識,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,语音分区域唤醒识别,音声エリア別起動認識,-,● デュアルゾーン,● デュアルゾーン,-,-,-,-,● シングルゾーン,● シングルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,-,● デュアルゾーン,● デュアルゾーン,-,-,-,-,-,-,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン,● デュアルゾーン
屏幕/系统,ディスプレイ・システム,语音连续识别,連続音声認識,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,可见即可说,見てすぐ話しかけ可能,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,手势控制,ジェスチャー操作,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
屏幕/系统,ディスプレイ・システム,面部识别,顔認証,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,ディスプレイ・システム,应用商店,アプリストア,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
屏幕/系统,ディスプレイ・システム,车载智能系统,車載インテリジェントシステム,-,● IQ. コネクティビティ,● IQ. コネクティビティ,-,-,-,-,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,-,● IQ. コネクティビティ,● IQ. コネクティビティ,-,-,-,-,● MOSスマートカーコネクト,● MOSスマートカーコネクト,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ,● IQ. コネクティビティ
屏幕/系统,ディスプレイ・システム,车机智能芯片,車載スマートチップ,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,-,-,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,-,-,-,-,-,-,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155,● Qualcomm Snapdragon 8155
屏幕/系统,ディスプレイ・システム,车机系统内存(GB),車載システムメモリ(GB),-,● 12,● 12,-,-,-,-,-,-,● 12,● 12,● 12,● 12,● 12,● 12,● 12,-,● 12,● 12,-,-,-,-,-,-,● 12,● 12,● 12,● 12,● 12,● 12
