セクション,項目,帕萨特 2026款 出众款 280TSI 商务版,帕萨特 2026款 Pro 300TSI 龙耀版,帕萨特 2026款 Pro 300TSI 星空龙耀版,帕萨特 2026款 出众款 330TSI 精英版,帕萨特 2026款 出众款 330TSI 星空精英版,帕萨特 2026款 出众款 380TSI 龙腾版,帕萨特 2026款 出众款 380TSI 星空龙腾版,帕萨特 2026款 出众款 380TSI 龙耀版,帕萨特 2026款 出众款 380TSI 星空龙耀版,帕萨特 2026款 Pro 380TSI 龙耀版,帕萨特 2026款 Pro 380TSI 星空龙耀版,帕萨特 2026款 Pro 380TSI 龙运版,帕萨特 2026款 Pro 380TSI 星空龙运版,帕萨特 2026款 Pro 380TSI 龙尊版,帕萨特 2026款 Pro 380TSI 星空龙尊版,帕萨特 2026款 Pro 380TSI 行政版,帕萨特 2025款 出众款 280TSI 商务版,帕萨特 2025款 Pro 300TSI 龙耀版,帕萨特 2025款 Pro 300TSI 星空龙耀版,帕萨特 2025款 出众款 330TSI 精英版,帕萨特 2025款 出众款 330TSI 星空精英版,帕萨特 2025款 出众款 380TSI 龙腾版,帕萨特 2025款 出众款 380TSI 星空龙腾版,帕萨特 2025款 出众款 380TSI 龙耀版,帕萨特 2025款 出众款 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙耀版,帕萨特 2025款 Pro 380TSI 星空龙耀版,帕萨特 2025款 Pro 380TSI 龙运版,帕萨特 2025款 Pro 380TSI 星空龙运版,帕萨特 2025款 Pro 380TSI 龙尊版,帕萨特 2025款 Pro 380TSI 星空龙尊版
外后视镜,外后视镜功能,"● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 后视镜加热","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目","● 电动调节
● 电动折叠
● 后视镜记忆
● 后视镜加热
● 倒车自动下翻
● 锁车自动折叠
● 自动防眩目"
屏幕/系统,中控彩色屏幕,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏,● 触控液晶屏
屏幕/系统,中控屏幕尺寸,● 8英寸,● 12.9英寸,● 12.9英寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸,● 9.2英寸,● 9.2英寸,● 12.9英寸,● 12.9英寸,● 15英寸,● 15英寸,● 15英寸,● 15英寸,● 15英寸,● 8英寸,● 12.9英寸,● 12.9英寸,● 8英寸,● 8英寸,● 8英寸,● 8英寸,● 9.2英寸,● 9.2英寸,● 12.9英寸,● 12.9英寸,● 15英寸,● 15英寸,● 15英寸,● 15英寸
屏幕/系统,中控屏幕分辨率,-,-,-,-,-,-,-,-,-,-,-,● 2K,● 2K,● 2K,● 2K,● 2K,-,-,-,-,-,-,-,-,-,-,-,● 2K,● 2K,● 2K,● 2K
屏幕/系统,副驾娱乐屏尺寸,-,-,-,-,-,-,-,-,-,-,-,● 11.6英寸,● 11.6英寸,● 11.6英寸,● 11.6英寸,● 11.6英寸,-,-,-,-,-,-,-,-,-,-,-,● 11.6英寸,● 11.6英寸,● 11.6英寸,● 11.6英寸
屏幕/系统,蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
屏幕/系统,手机互联/映射,-,"● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar",-,-,-,-,-,-,"● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar","● 支持CarPlay
● 支持CarLife
● 原厂互联/映射
● 支持HUAWEI HiCar"
屏幕/系统,语音识别控制系统,-,"● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热",-,-,-,-,"● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩","● 多媒体系统
● 导航
● 电话
● 空调
● 天窗
● 车窗
● 座椅加热
● 座椅通风
● 座椅按摩",-,"● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热",-,-,-,-,"● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风","● 多媒体系统
● 导航
● 电话
● 空调
● 座椅加热
● 座椅通风"
屏幕/系统,语音助手唤醒词,-,● 你好，大众,● 你好，大众,-,-,-,-,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,-,● 你好，大众,● 你好，大众,-,-,-,-,-,-,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众,● 你好，大众
屏幕/系统,语音免唤醒词,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
屏幕/系统,语音分区域唤醒识别,-,● 双区域,● 双区域,-,-,-,-,● 单区域,● 单区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,-,● 双区域,● 双区域,-,-,-,-,-,-,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域,● 双区域
屏幕/系统,语音连续识别,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
屏幕/系统,可见即可说,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
屏幕/系统,手势控制,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
屏幕/系统,面部识别,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
屏幕/系统,应用商店,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
屏幕/系统,车载智能系统,-,● IQ. Connectivity,● IQ. Connectivity,-,-,-,-,● MOS智慧车联,● MOS智慧车联,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,-,● IQ. Connectivity,● IQ. Connectivity,-,-,-,-,● MOS智慧车联,● MOS智慧车联,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity,● IQ. Connectivity
屏幕/系统,车机智能芯片,-,● 高通骁龙8155,● 高通骁龙8155,-,-,-,-,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,-,● 高通骁龙8155,● 高通骁龙8155,-,-,-,-,-,-,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155,● 高通骁龙8155
屏幕/系统,车机系统内存(GB),-,● 12,● 12,-,-,-,-,-,-,● 12,● 12,● 12,● 12,● 12,● 12,● 12,-,● 12,● 12,-,-,-,-,-,-,● 12,● 12,● 12,● 12,● 12,● 12
屏幕/系统,车机系统存储(GB),-,● 128,● 128,-,-,-,-,-,-,● 128,● 128,● 128,● 128,● 128,● 128,● 128,-,● 128,● 128,-,-,-,-,-,-,● 128,● 128,● 128,● 128,● 128,● 128
智能化配置,车联网,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,○,○,●,●,●,●,●,●,●,●
智能化配置,4G/5G网络,-,● 5G,● 5G,-,-,-,-,-,-,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G,-,● 5G,● 5G,-,-,-,-,-,-,● 5G,● 5G,● 5G,● 5G,● 5G,● 5G
智能化配置,OTA升级,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
智能化配置,Wi-Fi热点,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●,●,-,●,●,-,-,-,-,●,●,●,●,●,●,●,●
智能化配置,V2X通讯,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
智能化配置,手机APP远程功能,-,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修",-,-,-,-,-,-,"● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修","● 车门控制
● 车窗控制
● 车辆启动
● 空调控制
● 方向盘加热
● 座椅加热
● 座椅通风
● 车况查询/诊断
● 车辆定位/寻车
● 车主服务（查找充电桩、加油站、停车场等）
● 预约保养/维修",-,"○ 车门控制
○ 车窗控制
○ 车辆启动
○ 空调控制
○ 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","○ 车门控制
○ 车窗控制
○ 车辆启动
○ 空调控制
○ 座椅加热
● 车况查询/诊断
● 车辆定位/寻车",-,-,"○ 车况查询/诊断
○ 车辆定位/寻车","○ 车况查询/诊断
○ 车辆定位/寻车","● 车况查询/诊断
● 车辆定位/寻车","● 车况查询/诊断
● 车辆定位/寻车","○ 车门控制
○ 车窗控制
○ 车辆启动
○ 空调控制
○ 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","○ 车门控制
○ 车窗控制
○ 车辆启动
○ 空调控制
○ 座椅加热
● 车况查询/诊断
● 车辆定位/寻车","○ 车门控制
○ 车窗控制
○ 车辆启动
○ 空调控制
○ 方向盘加热
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","○ 车门控制
○ 车窗控制
○ 车辆启动
○ 空调控制
○ 方向盘加热
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","○ 车门控制
○ 车窗控制
○ 车辆启动
○ 空调控制
○ 方向盘加热
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车","○ 车门控制
○ 车窗控制
○ 车辆启动
○ 空调控制
○ 方向盘加热
○ 座椅加热
○ 座椅通风
● 车况查询/诊断
● 车辆定位/寻车"
方向盘/内后视镜,方向盘材质,"● 塑料
○ 皮质",● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 塑料,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质,● 皮质
方向盘/内后视镜,方向盘位置调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节,● 手动上下+前后调节
方向盘/内后视镜,换挡形式,● 机械挡把换挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 机械挡把换挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 机械挡把换挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡,● 旋转式电子怀挡
方向盘/内后视镜,多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,方向盘加热,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
方向盘/内后视镜,方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘/内后视镜,行车电脑显示屏幕,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色,● 彩色
方向盘/内后视镜,全液晶仪表盘,○,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,液晶仪表尺寸,"● 8英寸
○ 10.2英寸",● 10.3英寸,● 10.3英寸,"○ 8英寸
● 10.2英寸","○ 8英寸
● 10.2英寸",● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 8英寸,● 10.3英寸,● 10.3英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.2英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸,● 10.3英寸
方向盘/内后视镜,HUD抬头数字显示,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,-,●,●,-,-,-,-,-,-,●,●,●,●,●,●
方向盘/内后视镜,内后视镜功能,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 手动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目,● 自动防眩目
车内充电,多媒体/充电接口,"● USB
● Type-C",● Type-C,● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,"● USB
● Type-C",● Type-C,● Type-C,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C",● Type-C,● Type-C,● Type-C,● Type-C,● Type-C,● Type-C
车内充电,USB/Type-C接口数量,● 前排1个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排1个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排1个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个,● 前排2个/后排2个
车内充电,USB/Type-C最大充电功率,-,● 45W,● 45W,-,-,-,-,-,-,● 45W,● 45W,● 45W,● 45W,● 45W,● 45W,● 45W,-,● 45W,● 45W,-,-,-,-,-,-,● 45W,● 45W,● 45W,● 45W,● 45W,● 45W
车内充电,手机无线充电功能,-,● 前排,● 前排,-,-,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,-,● 前排,● 前排,-,-,-,-,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排,● 前排
车内充电,手机无线充电功率,-,● 40W,● 40W,-,-,-,-,-,-,● 40W,● 40W,● 40W,● 40W,● 40W,● 40W,● 40W,-,● 15W,● 15W,-,-,-,-,-,-,● 15W,● 15W,● 15W,● 15W,● 15W,● 15W
座椅配置,座椅材质,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,"● 仿皮
○ 皮/翻毛材质混搭",● 真皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,● 仿皮,"● 仿皮
○ 皮/翻毛材质混搭",● 仿皮,"● 仿皮
○ 皮/翻毛材质混搭"
座椅配置,主座椅调节方式,"● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(2向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)","● 前后调节
● 靠背调节
● 高低调节(4向)
● 腿托调节
● 腰部支撑(4向)"
