セクション,セクション_ja,項目,項目_ja,2026年モデル 増程 Max,2026年モデル 増程 Max+,2026年モデル 増程 Ultra,2026年モデル 純電 Max,2026年モデル 純電 Max+,2026年モデル 純電 Ultra,2025年モデル 増程 251km Pro,2025年モデル 増程 251km Max,2025年モデル 増程 360km Max,2025年モデル 増程 331km Ultra,2024年モデル 純電 667km Pro,2024年モデル 純電 667km Max,2024年モデル 純電 802km Max,2024年モデル 純電 736km Ultra
智能化配置,スマート機能装備,手机APP远程功能,スマホアプリ遠隔操作,"● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）","● ドアコントロール
● ウインドウコントロール
● 充電管理
● エアコンコントロール
● シートヒーター
● シートベンチレーション
● 車両状態確認／診断
● 車両位置特定／車探し
● オーナーサービス（充電スタンド、ガソリンスタンド、駐車場検索など）"
方向盘/内后视镜,ステアリング・内側ミラー,方向盘材质,ステアリング素材,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革,● 本革
方向盘/内后视镜,ステアリング・内側ミラー,方向盘位置调节,ステアリング位置調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整","● 手動上下＋前後調整
○ 電動上下＋前後調整",● 電動上下＋前後調整,"● 手動上下＋前後調整
○ 電動上下＋前後調整","● 手動上下＋前後調整
○ 電動上下＋前後調整",● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整,● 電動上下＋前後調整
方向盘/内后视镜,ステアリング・内側ミラー,换挡形式,シフト形式,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト,● 電子式コラムシフト
方向盘/内后视镜,ステアリング・内側ミラー,多功能方向盘,マルチファンクションステアリング,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘加热,ステアリングヒーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,方向盘记忆,ステアリング位置メモリー,○,○,●,○,○,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,行车电脑显示屏幕,ドライブコンピュータ表示画面,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー,● カラー
方向盘/内后视镜,ステアリング・内側ミラー,全液晶仪表盘,フル液晶メーター,●,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能,● 自動防眩機能
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,●,●,●,●,●,●,○,○,○,○,○,○,○,○
车内充电,車内充電設備,多媒体/充电接口,マルチメディア／充電端子,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個,● 前席2個／後席2個
车内充电,車内充電設備,USB/Type-C最大充电功率,USB／Type-C最大充電出力,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W,● 66W
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席
车内充电,車内充電設備,手机无线充电功率,スマホワイヤレス充電出力,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W,● 50W
车内充电,車内充電設備,行李厢12V电源接口,ラゲッジ12V電源端子,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革,● 合成皮革
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ レッグレスト調整
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
○ レッグレスト調整
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
○ 高さ調整（2方向）
● 高さ調整（4方向）
○ レッグレスト調整
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
○ 高さ調整（2方向）
● 高さ調整（4方向）
○ レッグレスト調整
○ 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）
● レッグレスト調整
● 腰部サポート（4方向）"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●,主運転席 ● / 副運転席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,"● 加熱
● 通気
○ マッサージ
● マッサージ（運転席のみ）
○ ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
○ マッサージ
● マッサージ（運転席のみ）
○ ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
○ マッサージ
● マッサージ（運転席のみ）
○ ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
○ マッサージ
● マッサージ（運転席のみ）
○ ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
○ マッサージ
○ ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
○ マッサージ
○ ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）","● 加熱
● 通気
● マッサージ
● ヘッドレストスピーカー（運転席のみ）"
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,"● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席","● 運転席
● 助手席"
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,○,●,●,○,●,●,○,●,●,●,○,●,●,●
座椅配置,シート装備,第二排座椅调节,2列目シート調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整,● 背もたれ調整
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排座椅功能,2列目シート機能,"○ 加熱
○ 通気
○ マッサージ","○ 加熱
○ 通気
○ マッサージ","● 加熱
● 通気
● マッサージ","○ 加熱
○ 通気
○ マッサージ","○ 加熱
○ 通気
○ マッサージ","● 加熱
● 通気
● マッサージ","○ 加熱
○ 通気
○ マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","○ 加熱
○ 通気
○ マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ","● 加熱
● 通気
● マッサージ"
座椅配置,シート装備,零重力座椅,ゼログラビティシート,"○ 運転席
○ 助手席（10000元）","○ 運転席
● 助手席","● 運転席
● 助手席","○ 運転席
○ 助手席（10000元）","○ 運転席
● 助手席","● 運転席
● 助手席",○ 助手席（10000元）,● 助手席,● 助手席,● 助手席,○ 助手席（10000元）,● 助手席,● 助手席,● 助手席
座椅配置,シート装備,后排座椅放倒形式,後席シートの倒し方,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式,● 分割可倒式
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND,● HUAWEI SOUND
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,"● 19スピーカー
○ 21スピーカー","● 19スピーカー
○ 21スピーカー",● 21スピーカー,"● 19スピーカー
○ 21スピーカー","● 19スピーカー
○ 21スピーカー",● 21スピーカー,"● 15スピーカー
○ 17スピーカー",● 17スピーカー,● 17スピーカー,● 17スピーカー,"● 15スピーカー
○ 17スピーカー",● 17スピーカー,● 17スピーカー,● 17スピーカー
音响/车内灯光,オーディオ・室内照明,车外扬声器数量,車外スピーカー数,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー,● 1スピーカー
音响/车内灯光,オーディオ・室内照明,触摸式阅读灯,タッチ式読書灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色,● 多色
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調節方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,热泵空调,ヒートポンプエアコン,-,-,-,●,●,●,-,-,-,-,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーン別制御,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内アロマ装置,-,-,-,-,-,-,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载冰箱,車載冷蔵庫,○,○,●,○,○,●,○,●,●,●,○,●,●,●
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–
选装包,オプションパッケージ,黑曜套件,オブシディアンパッケージ,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,○ オプション（2000元）,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,科技舒享包,テクノロジー快適パッケージ,○ オプション（15000元）,○ オプション（15000元）,-,○ オプション（15000元）,○ オプション（15000元）,-,-,-,-,-,-,-,-,-
选装包,オプションパッケージ,科技智享包,テクノロジー知能パッケージ,-,-,-,-,-,-,○ オプション（15000元）,-,-,-,○ オプション（15000元）,-,-,-
