セクション,セクション_ja,項目,項目_ja,2026年モデル 2.5Lハイブリッド 快適版,2026年モデル 2.5Lハイブリッド 豪華版,2026年モデル 2.5Lハイブリッド プレミアムPLUS版,2026年モデル 2.5Lハイブリッド プレミアム福祉PLUS版,2026年モデル 2.5Lハイブリッド プレミアムULTRA版,2026年モデル 2.5Lハイブリッド フラッグシップULTRA版,2026年モデル 2.5Lハイブリッド プレミアムPLUS 4WD版,2026年モデル 2.5Lハイブリッド プレミアムMAX 4WD版,2024年モデル 2.5Lハイブリッド 快適版,2024年モデル 2.5Lハイブリッド 豪華版,2024年モデル 2.5Lハイブリッド プレミアムPLUS版,2024年モデル 2.5Lハイブリッド プレミアム福祉PLUS版,2024年モデル 2.5Lハイブリッド プレミアムULTRA版,2024年モデル 2.5Lハイブリッド フラッグシップULTRA版,2024年モデル 2.5Lハイブリッド プレミアムPLUS 4WD版
方向盘/内后视镜,ステアリング・内側ミラー,液晶仪表尺寸,液晶メーターサイズ,● 4.2インチ,● 4.2インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 4.2インチ,● 4.2インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ,● 12.3インチ
方向盘/内后视镜,ステアリング・内側ミラー,仪表盘屏幕材质,メーター画面素材,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT,● TFT
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头数字显示,ヘッドアップディスプレイ,-,-,●,●,●,●,●,●,-,-,●,●,●,●,●
方向盘/内后视镜,ステアリング・内側ミラー,HUD抬头尺寸,HUDヘッドアップディスプレイサイズ,-,-,● 10インチ,● 10インチ,● 10インチ,● 10インチ,● 10インチ,● 10インチ,-,-,● 10インチ,● 10インチ,● 10インチ,● 10インチ,● 10インチ
方向盘/内后视镜,ステアリング・内側ミラー,内后视镜功能,ルームミラー機能,● 手動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,"● 自動防眩目
● ストリーミングミラー",● 自動防眩目,"● 自動防眩目
● ストリーミングミラー",● 手動防眩目,● 手動防眩目,● 自動防眩目,● 自動防眩目,● 自動防眩目,"● 自動防眩目
● ストリーミングミラー",● 自動防眩目
方向盘/内后视镜,ステアリング・内側ミラー,ETC装置,ETC装置,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
车内充电,車内充電設備,多媒体/充电接口,マルチメディア/充電ポート,"● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● HDMI
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● Type-C","● USB
● HDMI
● Type-C","● USB
● Type-C"
车内充电,車内充電設備,USB/Type-C接口数量,USB/Type-Cポート数,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席6個,● 前席3個／後席4個,● 前席3個／後席6個,● 前席3個／後席6個,● 前席3個／後席6個,● 前席3個／後席6個,● 前席3個／後席4個,● 前席3個／後席4個,● 前席3個／後席6個,● 前席3個／後席4個,● 前席3個／後席6個,● 前席3個／後席6個,● 前席3個／後席6個
车内充电,車内充電設備,220V/230V电源,AC電源(220/230V),-,-,-,-,-,●,-,-,-,-,-,-,-,●,-
车内充电,車内充電設備,手机无线充电功能,スマホワイヤレス充電機能,-,-,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,-,-,● 前席,● 前席,● 前席,● 前席,● 前席
座椅配置,シート装備,座椅材质,シート素材,● 合成皮革,● 合成皮革,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革",● 合成皮革,● 合成皮革,"● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革","● 本革
● 合成皮革"
座椅配置,シート装備,主座椅调节方式,運転席シート調整方式,"● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（2方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）
● 腰部サポート（4方向）","● 前後調整
● 背もたれ調整
● 高さ調整（4方向）"
座椅配置,シート装備,副座椅调节方式,助手席シート調整方式,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,主/副驾驶座电动调节,運転席/助手席電動調整,-,-,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,-,-,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●,運転席 ● / 助手席 ●
座椅配置,シート装備,前排座椅功能,フロントシート機能,-,-,● ヒーター,● ヒーター,● ヒーター,"● ヒーター付き
● ベンチレーション付き",● ヒーター,● ヒーター,-,-,● ヒーター,● ヒーター,● ヒーター,"● ヒーター付き
● ベンチレーション付き",● ヒーター
座椅配置,シート装備,电动座椅记忆功能,電動シートメモリー機能,-,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席,-,-,● 運転席,● 運転席,● 運転席,● 運転席,● 運転席
座椅配置,シート装備,副驾驶位后排可调节按钮,助手席後部調整ボタン,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
座椅配置,シート装備,第二排座椅调节,2列目シート調整,"● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整
● レッグレスト調整","● 前後調整
● 背もたれ調整"
座椅配置,シート装備,第二排座椅电动调节,2列目電動調整,-,-,●,●,●,●,●,●,-,-,-,●,●,●,-
座椅配置,シート装備,第二排座椅功能,2列目シート機能,-,-,"● ヒーター付き
● ベンチレーション付き",-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩","● ヒーター付き
● ベンチレーション付き","● ヒーター付き
● ベンチレーション付き",-,-,-,-,"● 加热
● 通风
● 按摩","● 加热
● 通风
● 按摩",-
座椅配置,シート装備,福祉座椅,福祉シート,-,-,-,●,-,-,-,-,-,-,-,●,-,-,-
座椅配置,シート装備,后排小桌板,後部小テーブル,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,第二排独立座椅,2列目独立シート,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
座椅配置,シート装備,座椅布局,シートレイアウト,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3,● 2-2-3
座椅配置,シート装備,后排座椅放倒形式,後部シート倒し方式,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒,● 分割可倒
座椅配置,シート装備,前/后中央扶手,フロント/リヤセンターアームレスト,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●,前席 ● / 後席 ●
座椅配置,シート装備,后排杯架,後席カップホルダー,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
音响/车内灯光,オーディオ・室内照明,扬声器品牌名称,スピーカーブランド名,-,-,-,-,-,● JBL,-,-,-,-,-,-,-,● JBL,-
音响/车内灯光,オーディオ・室内照明,扬声器数量,スピーカー数,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 8スピーカー,● 8スピーカー,● 6スピーカー,● 6スピーカー,● 8スピーカー,● 8スピーカー,● 8スピーカー,● 12スピーカー,● 8スピーカー
音响/车内灯光,オーディオ・室内照明,车内环境氛围灯,車内アンビエントライト,-,●,●,●,●,●,●,●,-,-,-,-,-,●,-
空调/冰箱,エアコン・冷蔵庫,空调温度控制方式,エアコン温度調整方式,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン,● オートエアコン
空调/冰箱,エアコン・冷蔵庫,后排独立空调,後席独立エアコン,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,后座出风口,後部座席エアアウトレット,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,温度分区控制,温度ゾーンコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,车载空气净化器,車載空気清浄機,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
空调/冰箱,エアコン・冷蔵庫,车内PM2.5过滤装置,車内PM2.5フィルター装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
空调/冰箱,エアコン・冷蔵庫,负离子发生器,マイナスイオン発生器,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
空调/冰箱,エアコン・冷蔵庫,车内香氛装置,車内香り装置,-,-,-,-,-,●,-,●,-,-,-,-,-,●,-
空调/冰箱,エアコン・冷蔵庫,空气质量监测,空気質センサー,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-
颜色,カラー,外观颜色,外装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
颜色,カラー,内饰颜色,内装色,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
